Item ID,AegisName,English Name,Category,Required Level,Slots,Buy,Sell,Locations
1389,E_Tomahawk_C,Tomahawk,Weapons,0,0,2,,Both_Hand
640002,Virgo_Divine_Cross_J,Virgo Divine Cross,Weapons,0,1,20,,Both_Hand
13065,Academy_Eti_Knife,Academy Eti Knife,Weapons,1,1,,,Right_Hand
13064,Academy_Knife,Academy Knife,Weapons,1,1,,,Right_Hand
16012,Academy_Mace,Academy Mace,Weapons,1,1,,,Right_Hand
1316,Adventure_Axe,Adventure Axe,Weapons,1,0,,,Right_Hand
18104,Adventure_Bow,Adventure Bow,Weapons,1,0,,,Both_Hand
13063,Adventure_Knife,Adventure Knife,Weapons,1,0,,,Right_Hand
16011,Adventure_Mace,Adventure Mace,Weapons,1,0,,,Right_Hand
1655,Adventure_Staff,Adventure Staff,Weapons,1,0,,,Right_Hand
13432,Adventure_Sword,Adventure Sword,Weapons,1,0,,,Right_Hand
13005,Counter_Dagger_IL_J,Angelic Wing Dagger,Weapons,1,1,20,,Right_Hand
1599,Angra_Manyu,Angra Manyu,Weapons,1,0,1,,Right_Hand
13055,F_Asura_C,Asura,Weapons,1,0,1,,Right_Hand
13059,E_Asura_C,Asura,Weapons,1,0,1,,Right_Hand
28103,Ru_Blue_Axe_M,Blue Twohand Axe,Weapons,1,1,10,,Both_Hand
520034,Z_Boost_N_Axe,Boosting Glacier Axe,Weapons,1,0,,,Right_Hand
540077,Z_Boost_N_Book,Boosting Glacier Book,Weapons,1,0,,,Right_Hand
700081,Z_Boost_N_Bow,Boosting Glacier Bow,Weapons,1,0,,,Both_Hand
510125,Z_Boost_N_Dagger,Boosting Glacier Dagger,Weapons,1,0,,,Right_Hand
570052,Z_Boost_N_instrument,Boosting Glacier Instrument,Weapons,1,0,,,Right_Hand
610057,Z_Boost_N_Katar,Boosting Glacier Katar,Weapons,1,0,,,Both_Hand
560051,Z_Boost_N_Claw,Boosting Glacier Knuckle,Weapons,1,0,,,Right_Hand
530050,Z_Boost_N_Lance,Boosting Glacier Lance,Weapons,1,0,,,Right_Hand
840030,Z_Boost_N_Launcher,Boosting Glacier Launcher,Weapons,1,0,,,Both_Hand
590067,Z_Boost_N_Mace,Boosting Glacier Mace,Weapons,1,0,,,Right_Hand
830034,Z_Boost_N_Gatling,Boosting Glacier Minigun,Weapons,1,0,,,Both_Hand
510124,Z_Boost_N_Nindo,Boosting Glacier Nindo,Weapons,1,0,,,Right_Hand
500082,Z_Boost_N_OH_Sword,Boosting Glacier One-Handed Sword,Weapons,1,0,,,Right_Hand
800036,Z_Boost_N_Revolber,Boosting Glacier Revolver,Weapons,1,0,,,Both_Hand
810037,Z_Boost_N_Rifle,Boosting Glacier Rifle,Weapons,1,0,,,Both_Hand
820030,Z_Boost_N_Shotgun,Boosting Glacier Shotgun,Weapons,1,0,,,Both_Hand
650044,Z_Boost_N_Huuma,Boosting Glacier Shuriken,Weapons,1,0,,,Both_Hand
510123,Z_Boost_N_Sotaedo,Boosting Glacier Sotaedo,Weapons,1,0,,,Right_Hand
550122,Z_Boost_N_Staff,Boosting Glacier Staff,Weapons,1,0,,,Right_Hand
600045,Z_Boost_N_Sword,Boosting Glacier Sword,Weapons,1,0,,,Both_Hand
580053,Z_Boost_N_Whip,Boosting Glacier Whip,Weapons,1,0,,,Right_Hand
520035,Z_Boost_P_Axe,Boosting Ice & Snow Axe,Weapons,1,0,,,Right_Hand
540078,Z_Boost_P_Book,Boosting Ice & Snow Book,Weapons,1,0,,,Right_Hand
700082,Z_Boost_P_Bow,Boosting Ice & Snow Bow,Weapons,1,0,,,Both_Hand
510128,Z_Boost_P_Dagger,Boosting Ice & Snow Dagger,Weapons,1,0,,,Right_Hand
570053,Z_Boost_P_instrumen,Boosting Ice & Snow Instrument,Weapons,1,0,,,Right_Hand
610058,Z_Boost_P_Katar,Boosting Ice & Snow Katar,Weapons,1,0,,,Both_Hand
560052,Z_Boost_P_Claw,Boosting Ice & Snow Knuckle,Weapons,1,0,,,Right_Hand
530051,Z_Boost_P_Lance,Boosting Ice & Snow Lance,Weapons,1,0,,,Right_Hand
840031,Z_Boost_P_Launcher,Boosting Ice & Snow Launcher,Weapons,1,0,,,Both_Hand
590068,Z_Boost_P_Mace,Boosting Ice & Snow Mace,Weapons,1,0,,,Right_Hand
830035,Z_Boost_P_Gatling,Boosting Ice & Snow Minigun,Weapons,1,0,,,Both_Hand
510127,Z_Boost_P_Nindo,Boosting Ice & Snow Nindo,Weapons,1,0,,,Right_Hand
500083,Z_Boost_P_OH_Sword,Boosting Ice & Snow One-Handed Sword,Weapons,1,0,,,Right_Hand
800037,Z_Boost_P_Revolver,Boosting Ice & Snow Revolver,Weapons,1,0,,,Both_Hand
810038,Z_Boost_P_Rifle,Boosting Ice & Snow Rifle,Weapons,1,0,,,Both_Hand
820031,Z_Boost_P_Shotgun,Boosting Ice & Snow Shotgun,Weapons,1,0,,,Both_Hand
650045,Z_Boost_P_Huuma,Boosting Ice & Snow Shuriken,Weapons,1,0,,,Both_Hand
510126,Z_Boost_P_Sotaedo,Boosting Ice & Snow Sotaedo,Weapons,1,0,,,Right_Hand
550123,Z_Boost_P_Staff,Boosting Ice & Snow Staff,Weapons,1,0,,,Right_Hand
600046,Z_Boost_P_Sword,Boosting Ice & Snow Sword,Weapons,1,0,,,Both_Hand
580054,Z_Boost_P_Whip,Boosting Ice & Snow Whip,Weapons,1,0,,,Right_Hand
1335,Cancer_Axe_J,Cancer Axe,Weapons,1,1,,,Right_Hand
16015,Cat_Club,Cat Club,Weapons,1,3,20,,Right_Hand
13440,Ceremonial_Sword,Ceremonial Sword,Weapons,1,0,20,,Right_Hand
13054,F_Combat_Knife_C,Combat Knife,Weapons,1,0,1,,Right_Hand
13058,E_Combat_Knife_C,Combat Knife,Weapons,1,0,1,,Right_Hand
13056,F_Counter_Dagger_C,Counter Dagger,Weapons,1,0,1,,Right_Hand
13060,E_Counter_Dagger_C,Counter Dagger,Weapons,1,0,1,,Right_Hand
1204,Cutter,Cutter,Weapons,1,3,1250,,Right_Hand
1581,F_Diary_Of_Great_Sage_C,Diary Of Great Sage,Weapons,1,2,1,,Right_Hand
1582,E_Diary_Of_Great_Sage_C,Diary Of Great Sage,Weapons,1,2,1,,Right_Hand
1475,Horseback_Lance,Equestrian's Spear,Weapons,1,0,20,,Both_Hand
1308,Golden_Axe,Golden Axe,Weapons,1,0,20,,Right_Hand
13086,Goldsmithing_Dagger,Goldsmithing Dagger,Weapons,1,0,20,,Right_Hand
13096,Half_BF_Dagger2,Half BF Dagger2,Weapons,1,0,20,,Right_Hand
13000,Jujube_Dagger,Jujube Dagger,Weapons,1,0,10000,,Right_Hand
1247,Kindling_Dagger,Kindle Dagger,Weapons,1,0,10000,,Right_Hand
1735,Kkakkung,Kkakkung,Weapons,1,0,20,,Both_Hand
1201,Knife,Knife,Weapons,1,3,50,,Right_Hand
13049,Lacma,Lacma,Weapons,1,1,20,,Right_Hand
1150,Libra_Krasnaya_J,Libra's Krasnaya,Weapons,1,1,,,Both_Hand
1390,E_Right_Epsilon_C,Light Epsilon,Weapons,1,0,1,,Both_Hand
1209,Main_Gauche__,Main Gauche,Weapons,1,0,2400,,Right_Hand
13040,N_Cutter,Novice Cutter,Weapons,1,3,,,Right_Hand
13182,Novice_Gatling,Novice Gatling,Weapons,1,0,,,Both_Hand
13183,Novice_Grenade_Launcher,Novice Grenade Launcher,Weapons,1,0,,,Both_Hand
13041,N_Main_Gauche,Novice Main Gauche,Weapons,1,3,,,Right_Hand
13116,Novice_Revolver,Novice Revolver,Weapons,1,0,,,Both_Hand
13180,Novice_Rifle,Novice Rifle,Weapons,1,3,,,Both_Hand
1639,N_Rod,Novice Rod,Weapons,1,3,,,Right_Hand
13181,Novice_Shotgun,Novice Shotgun,Weapons,1,0,,,Both_Hand
1248,Obsidian_Dagger,Obsidian Dagger,Weapons,1,0,10000,,Right_Hand
590084,Orcish_Mace_BR,Orc Mace,Weapons,1,2,,,Right_Hand
1431,F_Pole_Axe_C,Pole Axe,Weapons,1,0,1,,Right_Hand
1432,E_Pole_Axe_C,Pole Axe,Weapons,1,0,1,,Right_Hand
1240,Princess_Knife,Princess Knife,Weapons,1,0,20,,Right_Hand
1315,F_Right_Epsilon_C,Right Epsilon,Weapons,1,0,1,,Both_Hand
1601,Rod,Rod,Weapons,1,3,50,,Right_Hand
13092,RWC_Memory_Knife,RWC Memory Knife,Weapons,1,1,20,,Right_Hand
16026,RWC_Memory_Mace,RWC Memory Mace,Weapons,1,1,20,,Right_Hand
1670,RWC_Memory_Staff,RWC Memory Staff,Weapons,1,1,20,,Right_Hand
1681,Newbie_Foxtail,Short Foxtail Staff,Weapons,1,0,20,,Right_Hand
28606,Union_Bible,Unity Bible,Weapons,1,1,20,,Right_Hand
18132,Union_Bow,Unity Bow,Weapons,1,1,20,,Both_Hand
13457,Union_Dagger,Unity Dagger,Weapons,1,1,20,,Right_Hand
13329,Union_Huuma,Unity Huuma Shuriken,Weapons,1,1,20,,Both_Hand
28011,Union_Katar,Unity Katar,Weapons,1,1,20,,Both_Hand
16048,Union_Mace,Unity Mace,Weapons,1,1,20,,Right_Hand
13129,Union_Revolver,Unity Revolver,Weapons,1,1,20,,Both_Hand
13456,Union_Sword,Unity Sword,Weapons,1,1,20,,Right_Hand
28110,Union_Twohand_Axe,Unity Two-Handed Axe,Weapons,1,1,20,,Both_Hand
2030,Union_Twohand_Staff,Unity Two-Handed Staff,Weapons,1,1,20,,Both_Hand
1941,Union_Viollin,Unity Violin,Weapons,1,1,20,,Right_Hand
1997,Union_Wire,Unity Whip,Weapons,1,1,20,,Right_Hand
13316,Upg_Huuma_Shuriken,Upg Huuma Shuriken,Weapons,1,1,20,,Both_Hand
1585,Upg_Book,Upgrade Book,Weapons,1,1,20,,Right_Hand
18112,Upg_Bow,Upgrade Bow,Weapons,1,1,20,,Both_Hand
13071,Upg_Dagger,Upgrade Dagger,Weapons,1,1,20,,Right_Hand
1292,Upg_Katar,Upgrade Katar,Weapons,1,1,20,,Both_Hand
1491,Upg_Lance,Upgrade Lance,Weapons,1,1,20,,Both_Hand
16019,Upg_Mace,Upgrade Mace,Weapons,1,1,20,,Right_Hand
13115,Upg_Revolver,Upgrade Revolver,Weapons,1,1,20,,Both_Hand
2015,Upg_Staff,Upgrade Staff,Weapons,1,1,20,,Both_Hand
1394,Upg_Two_Handed_Axe,Upgrade Two-Handed Axe,Weapons,1,1,20,,Both_Hand
21000,Upg_Twohand_Sword,Uprage Two-handed Sword,Weapons,1,1,20,,Both_Hand
1802,Waghnakh_,Waghnak,Weapons,1,4,8000,,Right_Hand
1107,Blade,Blade,Weapons,2,3,2900,,Right_Hand
13476,Blade_Z,Blade,Weapons,2,4,1,,Right_Hand
1503,Club__,Club,Weapons,2,0,120,,Right_Hand
13475,Falchion_Z,Falchion,Weapons,2,4,1,,Right_Hand
1504,Mace,Mace,Weapons,2,3,1600,,Right_Hand
13415,N_Falchion,Novice Falchion,Weapons,2,3,,,Right_Hand
1545,N_Mace,Novice Mace,Weapons,2,3,,,Right_Hand
1101,Sword,Sword,Weapons,2,3,100,,Right_Hand
13474,Sword_Z,Sword,Weapons,2,4,1,,Right_Hand
1901,Violin,Violin,Weapons,2,3,4000,,Right_Hand
1902,Violin_,Violin,Weapons,2,4,4000,,Right_Hand
1327,Axe_Z,Axe,Weapons,3,4,,,Right_Hand
1351,Battle_Axe,Battle Axe,Weapons,3,3,5400,,Both_Hand
1687,Beginner_FoxTail,Beginner Foxtail Staff,Weapons,3,1,20,,Right_Hand
1381,N_Battle_Axe,Novice Battle Axe,Weapons,3,3,,,Both_Hand
1309,Orcish_Axe_,Orcish Axe,Weapons,3,4,20,,Right_Hand
1950,Rope,Rope,Weapons,3,3,2500,,Right_Hand
1951,Rope_,Rope,Weapons,3,4,2500,,Right_Hand
1701,Bow,Bow,Weapons,4,3,1000,,Both_Hand
1704,Composite_Bow,Composite Bow,Weapons,4,3,2500,,Both_Hand
1418,Gungnir_,Gungnir,Weapons,4,2,20,,Right_Hand
1401,Javelin,Javelin,Weapons,4,3,150,,Right_Hand
1118,Katana__,Katana,Weapons,4,0,2000,,Both_Hand
1742,N_Composite_Bow,Novice Composite Bow,Weapons,4,3,1,,Both_Hand
1407,Pike,Pike,Weapons,4,3,3450,,Right_Hand
1404,Spear,Spear,Weapons,4,3,1700,,Right_Hand
13437,Orcish_Sword_,Orcish Sword,Weapons,5,4,20,,Right_Hand
13101,Six_Shooter_,Six Shooter,Weapons,10,2,4500,,Both_Hand
13010,Asura,Asura,Weapons,12,2,3000,,Right_Hand
1213,Dagger,Dagger,Weapons,12,2,14000,,Right_Hand
1210,Dirk,Dirk,Weapons,12,2,8500,,Right_Hand
1803,Knuckle_Duster,Knuckle Dusters,Weapons,12,2,25000,,Right_Hand
1804,Knuckle_Duster_,Knuckle Dusters,Weapons,12,3,25000,,Right_Hand
1607,Staff,Staff,Weapons,12,2,9500,,Right_Hand
1218,Stiletto__,Stiletto,Weapons,12,0,19500,,Right_Hand
1805,Hora,Studded Knuckles,Weapons,12,2,32000,,Right_Hand
1606,Wand__,Wand,Weapons,12,0,2500,,Right_Hand
1550,Book,Book,Weapons,14,3,30000,,Right_Hand
1519,Chain,Chain,Weapons,14,2,23000,,Right_Hand
1521,Chain__,Chain,Weapons,14,3,23000,,Right_Hand
1510,Flail,Flail,Weapons,14,2,16000,,Right_Hand
1512,Flail__,Flail,Weapons,14,3,16000,,Right_Hand
1905,Lute,Lute,Weapons,14,2,24500,,Right_Hand
1906,Lute_,Lute,Weapons,14,3,24500,,Right_Hand
1903,Mandolin,Mandolin,Weapons,14,2,18000,,Right_Hand
1904,Mandolin_,Mandolin,Weapons,14,3,18000,,Right_Hand
13477,Lapier_Z,Rapier,Weapons,14,3,10,,Right_Hand
1122,Ring_Pommel_Saber,Ring Pommel Saber,Weapons,14,2,24000,,Right_Hand
13480,Ring_Pommel_Saber_Z,Ring Pommel Saber,Weapons,14,3,1,,Right_Hand
13154,Rolling_Stone,Rolling Stone,Weapons,14,1,12000,,Both_Hand
1113,Scimiter,Scimitar,Weapons,14,2,17000,,Right_Hand
1115,Scimiter__,Scimitar,Weapons,14,3,17000,,Right_Hand
13478,Scimiter_Z,Scimitar,Weapons,14,3,10,,Right_Hand
1507,Smasher,Smasher,Weapons,14,2,9000,,Right_Hand
1509,Smasher__,Smasher,Weapons,14,3,9000,,Right_Hand
1354,Hammer,Hammer,Weapons,16,2,15500,,Both_Hand
1952,Line,Whip,Weapons,16,2,12000,,Right_Hand
1953,Line_,Whip,Weapons,16,3,12000,,Right_Hand
1954,Wire,Wire Whip,Weapons,16,2,17500,,Right_Hand
1955,Wire_,Wire Whip,Weapons,16,3,17500,,Right_Hand
1154,Bastard_Sword,Bastard Sword,Weapons,18,2,22500,,Both_Hand
1710,CrossBow,Crossbow,Weapons,18,2,17000,,Both_Hand
1454,Glaive,Glaive,Weapons,18,2,20000,,Both_Hand
1707,Great_Bow,Great Bow,Weapons,18,2,10000,,Both_Hand
1453,Guisarme__,Guisarme,Weapons,18,0,13000,,Both_Hand
1250,Jur,Jur,Weapons,18,2,19500,,Both_Hand
1457,Partizan,Partizan,Weapons,18,1,27000,,Both_Hand
1151,Slayer,Slayer,Weapons,18,2,15000,,Both_Hand
1610,Arc_Wand,Arc Wand,Weapons,24,1,45000,,Right_Hand
1593,Book_Of_Destiny,Book of Destiny,Weapons,24,1,10,,Right_Hand
1810,Claw_,Claw,Weapons,24,2,67000,,Right_Hand
13151,The_Cyclone,Cyclone,Weapons,24,1,17500,,Both_Hand
1222,Damascus,Damascus,Weapons,24,1,49000,,Right_Hand
1662,Bone_Wand_,Evil Bone Wand,Weapons,24,2,20,,Right_Hand
1811,Finger,Finger,Weapons,24,1,58000,,Right_Hand
1808,Fist_,Fist,Weapons,24,1,53000,,Right_Hand
1219,Gladius,Gladius,Weapons,24,2,43000,,Right_Hand
1617,Survival_Rod,Survivor's Rod (Dex),Weapons,24,0,85000,,Right_Hand
1596,Earth_Pedigree_Book,Earth Pedigree Book,Weapons,27,2,10,,Right_Hand
1149,Flamberge_,Flamberge,Weapons,27,2,60000,,Right_Hand
1594,Fire_Pedigree_Book,Flame Pedigree Book,Weapons,27,2,10,,Right_Hand
1907,Guitar,Guitar,Weapons,27,0,47000,,Right_Hand
1911,Guh_Moon_Goh,Gumoongoh,Weapons,27,1,54000,,Right_Hand
1912,Guh_Moon_Goh_,Gumoongoh,Weapons,27,2,54000,,Right_Hand
1123,Haedonggum,Haedonggum,Weapons,27,1,50000,,Right_Hand
1909,Harp,Harp,Weapons,27,1,62000,,Right_Hand
1595,Ice_Pedigree_Book,Ice Pedigree Book,Weapons,27,2,10,,Right_Hand
1513,Morning_Star,Morning Star,Weapons,27,1,41000,,Right_Hand
1515,Morning_Star__,Morning Star,Weapons,27,2,41000,,Right_Hand
1126,Saber,Saber,Weapons,27,2,49000,,Right_Hand
13450,LI_Saber,Saber,Weapons,27,2,10,,Right_Hand
13481,Saber_Z,Saber,Weapons,27,3,1,,Right_Hand
1532,Stunner_,Stunner,Weapons,27,2,60000,,Right_Hand
1518,Sword_Mace__,Sword Mace,Weapons,27,1,50000,,Right_Hand
1592,Thor_Pedigree_Book,Thunder Pedigree Book,Weapons,27,2,10,,Right_Hand
1119,Tsurugi,Tsurugi,Weapons,27,1,51000,,Right_Hand
13479,Tsurugi_z,Tsurugi,Weapons,27,2,1,,Right_Hand
1317,Academy_Axe,Academy Axe,Weapons,30,1,,,Right_Hand
18105,Academy_Bow,Academy Bow,Weapons,30,1,,,Both_Hand
13433,Academy_Sword,Academy Sword,Weapons,30,1,,,Right_Hand
1656,Academy_Wand,Academy Wand,Weapons,30,1,,,Right_Hand
1357,Buster,Buster,Weapons,30,1,34000,,Both_Hand
1245,Cinquedea,Cinquedea,Weapons,30,1,40000,,Right_Hand
1621,Hypnotist's_Staff,Hypnotist's Staff,Weapons,30,1,43000,,Right_Hand
13067,Caress,Keris,Weapons,30,1,20,,Right_Hand
13088,Krishnagar,Krishnagar,Weapons,30,1,10,,Right_Hand
1956,Rante,Rante Whip,Weapons,30,0,32000,,Right_Hand
1958,Tail,Tail Whip,Weapons,30,1,41000,,Right_Hand
1146,Town_Sword,Town Sword,Weapons,30,1,42000,,Right_Hand
1360,Two_Handed_Axe,Two-Handed Axe,Weapons,30,1,55000,,Both_Hand
1960,Whip,Whip,Weapons,30,1,38000,,Right_Hand
1961,Whip_,Whip,Weapons,30,2,38000,,Right_Hand
1713,Arbalest,Arbalest,Weapons,33,1,48000,,Both_Hand
1172,Claymore_,Claymore,Weapons,33,2,74000,,Both_Hand
1714,Kakkung,Gakkung Bow,Weapons,33,1,42000,,Both_Hand
1465,Halberd__,Halberd,Weapons,33,0,54000,,Both_Hand
1726,Hunter_Bow_,Hunter Bow,Weapons,33,1,64000,,Both_Hand
1254,Jamadhar,Jamadhar,Weapons,33,0,37200,,Both_Hand
1252,Katar,Katar,Weapons,33,1,41000,,Both_Hand
1410,Lance,Lance,Weapons,33,0,60000,,Both_Hand
1412,Lance__,Lance,Weapons,33,0,60000,,Both_Hand
630042,aegis_630042,Trident,Weapons,33,3,,,Both_Hand
1159,Two_Hand_Sword__,Two-Handed Sword,Weapons,33,0,60000,,Both_Hand
13155,Black_Rose,Black Rose,Weapons,35,1,32000,,Both_Hand
13102,Crimson_Bolt,Crimson Bolt,Weapons,35,1,20000,,Both_Hand
13103,Crimson_Bolt_,Crimson Bolt,Weapons,35,2,20000,,Both_Hand
13007,Jitte,Jitte,Weapons,35,0,20000,,Right_Hand
13033,Assasin_Dagger_,Assassin Dagger,Weapons,36,1,20,,Right_Hand
1235,Azoth,Azoth,Weapons,36,0,20,,Right_Hand
1816,Berserk_,Berserk,Weapons,36,1,20,,Right_Hand
13032,Mail_Breaker_,Mailbreaker,Weapons,36,3,20,,Right_Hand
1672,Safety_Rod,Safety Rod,Weapons,36,1,,,Right_Hand
13018,Sucsamad_,Sucsamad,Weapons,36,1,20,,Right_Hand
13031,Sword_Breaker_,Swordbreaker,Weapons,36,3,20,,Right_Hand
1227,Weeder_Knife,Weeder Knife,Weapons,36,0,20,,Right_Hand
13447,Byeorrun_Gum_,Byeollungum,Weapons,40,2,1,,Right_Hand
2031,Tw_Staff_Of_Malang_J,Cat's cane - Swordfish,Weapons,40,1,50000,,Both_Hand
13400,Cutlas_,Cutlus,Weapons,40,1,20,,Right_Hand
13435,Fire_Brand_,Fireblend,Weapons,40,3,20,,Right_Hand
1539,Golden_Mace_,Golden Mace,Weapons,40,2,20,,Right_Hand
1540,Grand_Cross_,Grand Cross,Weapons,40,1,20,,Right_Hand
13436,Ice_Falchon_,Ice Falchion,Weapons,40,3,20,,Right_Hand
13453,Mysteltainn_S,Mysteltainn,Weapons,40,3,20,,Right_Hand
1538,Spike_,Spike,Weapons,40,2,20,,Right_Hand
1139,Tale_Fing_,Tirfing,Weapons,40,0,20,,Right_Hand
13301,Huuma_Giant_Wheel,Huuma Giant Wheel Shuriken,Weapons,42,3,40000,,Both_Hand
1300,Cleaver_,Cleaver,Weapons,44,3,20,,Right_Hand
1535,Hollgrehenn_Hammer,Hollgrehenn's Hammer,Weapons,44,1,4444,,Right_Hand
1367,Slaughter,Slaughter,Weapons,44,0,20,,Both_Hand
13446,Star_Dust_Blade_,Star Dust Blade,Weapons,45,3,1,,Right_Hand
1161,Balmung,Balmung,Weapons,48,0,20,,Both_Hand
1467,Bill_Guisarme,Bill Guisarme,Weapons,48,0,20,,Both_Hand
1180,Dragon_Slayer_,Dragon Slayer,Weapons,48,2,20,,Both_Hand
1179,Executioner__,Executioner,Weapons,48,1,20,,Both_Hand
1449,Gelerdria_,Gelerdria,Weapons,48,3,20,,Right_Hand
1497,Hell_Fire_S,Hellfire,Weapons,48,3,20,,Both_Hand
1719,Bow_Of_Roguemaster,Roguemaster's Bow,Weapons,48,0,20,,Both_Hand
1144,Sasimi,Sashimi,Weapons,48,0,20,,Right_Hand
1178,Schweizersabel_,Schweizersabel,Weapons,48,2,20,,Both_Hand
1416,Tjungkuletti,Tjungkuletti,Weapons,48,0,20,,Right_Hand
1481,Zephyrus_,Zephyrus,Weapons,48,3,20,,Both_Hand
1171,Zweihander_,Zweihander,Weapons,48,2,20,,Both_Hand
1949,2nd_Job_Weapon12,Bard Guild Violin,Weapons,50,2,,,Right_Hand
18144,Blue_Bow,Blue Bow,Weapons,50,2,20,,Both_Hand
28720,Blue_Dagger,Blue Dagger,Weapons,50,3,20,,Right_Hand
13139,Blue_Gun,Blue Gun,Weapons,50,2,20,,Both_Hand
16057,Blue_Mace,Blue Mace,Weapons,50,3,20,,Right_Hand
32000,Blue_Spear,Blue Spear,Weapons,50,3,20,,Right_Hand
26104,Blue_Staff,Blue Staff,Weapons,50,2,20,,Right_Hand
1675,Walking_Stick_,Gentleman's Staff,Weapons,50,3,20,,Right_Hand
1837,Iron_nail,Iron Nail,Weapons,50,1,10,,Right_Hand
13082,Ivory_Knife_,Ivory Knife,Weapons,50,3,20,,Right_Hand
21008,Kogarasu_Maru,Kogarasumaru,Weapons,50,2,20,,Both_Hand
18133,Bow_of_Trust,Lightning Bow,Weapons,50,2,,,Both_Hand
13482,Orcish_Blade,Orcish Blade,Weapons,50,1,1,,Right_Hand
13091,Owl_Cutter,Owl's Dagger,Weapons,50,1,20,,Right_Hand
13428,Priest_Sword,Priest Sword,Weapons,50,3,20,,Right_Hand
1835,Spartacus,Spartacus,Weapons,50,2,,,Right_Hand
1663,Staff_Of_Bordeaux_,Staff Of Bordeaux,Weapons,50,2,20,,Right_Hand
13130,Gun_of_Trust,Thunder Gun,Weapons,50,2,,,Both_Hand
16049,Mace_of_Trust,Thunder Hammer,Weapons,50,3,,,Right_Hand
1444,Spear_of_Trust,Thunder Spear,Weapons,50,3,,,Right_Hand
28708,Dagger_of_Trust,Thunder Sword,Weapons,50,3,,,Right_Hand
1688,Staff_of_Trust,Thunder Wand,Weapons,50,2,,,Right_Hand
18142,UnrivaledBow,Unrivaled Bow,Weapons,50,2,20,,Both_Hand
28715,UnrivaledDagger,Unrivaled Dagger,Weapons,50,3,20,,Right_Hand
13133,UnrivaledGun,Unrivaled Gun,Weapons,50,2,20,,Both_Hand
16055,UnrivaledMace,Unrivaled Mace,Weapons,50,3,20,,Right_Hand
1448,UnrivaledSpear,Unrivaled Spear,Weapons,50,3,,,Right_Hand
26102,UnrivaledStaff,Unrivaled Staff,Weapons,50,2,20,,Right_Hand
2050,2nd_Job_Weapon8,Wizard Guild Staff,Weapons,50,0,,,Both_Hand
