Id,AegisName,Name,Category,Reason
1598,Snake_Encyclopedia_,Daizenshu Dakatsu,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¹ì¹é°ú»çÀü)"
1672,Safety_Rod,Safety Rod,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¼¼ÀÌÇÁÆ¼·Îµå)"
1676,Baculum_Daemonicum,Baculum Daemonicum,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¹ÙÄí·ë´ÙÀÌ¸ð´ÏÄñ)"
1688,Staff_of_Trust,Thunder Wand,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=½Å·ÚÀÇÁöÆÎÀÌ)"
1689,Staff_of_Trust2,[Rental] Hunting Wand,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Overfishing_Staff)"
1843,Mirage_Claw,Mirage Claw,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¹Ì¶óÁêÅ©·Î)"
1861,Variant_Claw,Abyss Claw,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=µ¥¸óÅ¬·Î)"
1937,Ru_Gold_Violin,Ru Gold Violin,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=ºû³ª´Â¹ÙÀÌ¿Ã¸°)"
1943,Erhu,Erhu,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÀÌÈ£)"
1945,Diva_Viollin,Diva Viollin,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ºû³ª´Â¹ÙÀÌ¿Ã¸°)"
1992,Ru_Gold_Whip,Ru Gold Whip,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=ºû³ª´ÂÃ¤Âï)"
1999,Moonlight_Bell,Phantom Bell,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¿µÈ¯ÀÇ¹æ¿ï)"
2034,Avenger_Wizardy_Staff,Avenger Wizard Staff,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¾îº¥ÀúÀ§Àúµå½ºÅÂÇÁ)"
2041,Jirant_Staff,Flame Thunder Witch's Wand,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Áö¶õÆ®½ºÅÂÇÁ)"
2042,Neev_Wizardy_Staff,Neev Wizardy Staff,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Neev_Wizardy_Staff)"
2043,Neev_Arc_Wand,Neev Arc Wand,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Neev_Arc_Wand)"
2044,Neev_Holy_Stick,Neev Holy Stick,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Neev_Holy_Stick)"
2045,Neev_Divine_Cross,Neev Divine Cross,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Neev_Divine_Cross)"
2053,Variant_Staff,Abyss Staff,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=µ¥¸ó½ºÅÂÇÁ)"
2154,Toy_Shield,Toy Shield,Shields,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÅäÀÌ½¯µå)"
2175,Esprit_Shield,Esprit Shield,Shields,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¶ó¸ð¸£½¯µå_¿°)"
2177,Shield_Of_Death,Shield Of Death,Shields,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Á×ÀºÀÚÀÇ¹æÆÐ)"
2191,Solomon_Key,Solomon's Key,Shields,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¼Ö·Î¸óÀÇ¿­¼è)"
2193,Fallen_Angel_Shield,Fallen Angel Shield,Shields,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Å¸Ãµ»çÀÇ¹æÆÐ)"
2196,White_Gold_Shield,White Gold Shield,Shields,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=È­ÀÌÆ®°ñµå½¯µå)"
2197,Iron_Shield,Iron Shield,Shields,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¾ÆÀÌ¾ð½¯µå)"
2198,Lapine_Shield,Lapine Shield,Shields,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¶óÇÇ³×½¯µå)"
2464,No_Fear_Shoes,No Fear Shoes,Shoes,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=NOFEAR½Å¹ß)"
2481,Rune_Boots,Rune Boots,Shoes,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=·éºÎÃ÷)"
2490,Rune_Boots_,Rune Boots,Shoes,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=·éºÎÃ÷)"
2579,Magic_Stole,Magic Stole,Garments,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¸¶¹ýÀÇ¼ñ)"
2583,Holy_Cape,Holy Cape,Garments,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¼º½º·¯¿îÄÉÀÌÇÁ)"
2584,Wanderer_Outer,Wanderer Outer,Garments,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¹èÈ¸ÇÏ´ÂÀÚÀÇ°Ñ¿Ê)"
2592,Boss_Domovoi_Cape,Boss Brownie Manteau,Garments,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=º¸½ºµµ¸ðºÛÀÌÀÇ¸ÁÅä)"
2594,Wrapping_Manteau,Wrapping Manteau,Garments,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=º¸ÀÚ±â¸ÁÅä)"
2597,Scarlet_Poncho,Crimson Poncho,Garments,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÁøÈ«ÀÇÆÇÃÊ)"
2606,Whike_Black_Tail_L,Rental Black Tail of Hyukke,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÈÖÄÉ¹ÙÀÎ°ËÀº²¿¸®)"
2829,Greed_Clip,Greed Clip,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=Å½¿åÀÇÅ¬¸³)"
2845,No_Fear_Belt,No Fear Belt,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=NOFEARº§Æ®)"
2855,Whike_Black_Tail,Whike Black Tail,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÈÖÄÉ¹ÙÀÎ°ËÀº²¿¸®)"
2877,Glove_Sabik,Glove Sabik,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=»çºñÅ©ÀÇ±Û·¯ºê)"
2878,Bracelet_Arunairi,Bracelet Arunairi,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¾Æ·ç³ª¾ÆÀÌ¸®ÀÇÆÈÂî)"
2879,Badge_Giorredart,Badge Giorredart,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Á¶¸£´ÙÆ®ÀÇ¹îÁö)"
2882,Ecoro_Cardslip,Ecoro Cardslip,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ECOROÄ«µå½½¸³)"
2888,School_Bag,School Bag,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÅëÇÐ°¡¹æ)"
2906,Happy_Gauntlet,Happy Gauntlet,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Çàº¹ÀÇ°ÇÆ²¸´)"
2912,Xylitol_2011,Xylitol 2011,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÀÚÀÏ¸®Åç²­)"
2914,Wizard_Left_Eye,Wizard Left Eye,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¾î´À¸¶¹ý»çÀÇ¿ÞÂÊ´«)"
2959,Fidelity_Necklace,Fidelity Necklace,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÃæÀýÀÇ¸ñ°ÉÀÌ)"
2960,Badge_Of_Manny,Badge Of Manny,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=bRO, Resource=¸Å´Ï¹îÁö)"
2961,Magic_Carpet,Magic Carpet,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=bRO, Resource=¸¶¹ýÄ«ÆäÆ®)"
2970,Pie_Fruit_Box,Pie Fruit Box,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÆÄÀÌÀÇ¿­¸Å»óÀÚ)"
2975,10th_Anni_Badge_J,10th Anniversary Badge,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=10ÁÖ³â±â³äÆÐÅ°Áö_j)"
2979,Strawberry_Decoration,Strawberry Decoration,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=µþ±âÀå½Ä)"
2982,Earth_Ring_J,Earth Ring,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¾î½º¸µ)"
2985,Gyges_Ring,Gyges's Ring,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=±â°Ô½ºÀÇ¹ÝÁö)"
2986,Snake_Ring,Snake Ring,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=bRO, Resource=¹ì¸µ)"
2987,Snake_Pendant,Snake Pendant,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=bRO, Resource=¹ìÀÇ°¡È£)"
2993,Yggdrasil_Ring,Heaven and Earth Tree Ring,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¼¼°è¼öÀÇ¹ÝÁö)"
2998,Shining_Trapezohedron,Shining Trapezohedron,Accessories,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ºû³ª´ÂÆí»ç°¢´Ù¸éÃ¼)"
5434,Cola_Can,Cola Can,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÄÝ¶óÄµ)"
5472,Red_White_Hat,Red Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=È«¹é¸ðÀÚ)"
5474,Notice_Board,AFK Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¾Ë¸²°£ÆÇ)"
5576,Japan_Winecup,Wine Cup,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÀÏº»¼úÀÜ)"
5595,Eye_Of_Juno,Eye Of Juno,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=À¯³ëÀÇ´«)"
5608,Dorothy_Doll_Hat,Dorothy Doll Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=µµ·Î½ÃÀÎÇü¸ðÀÚ)"
5611,Turtle_Hat,Turtle Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=²¿ºÏÀÌ¸ðÀÚ)"
5656,Scooter_Hat_J,Scooter Helmet,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=½ºÄíÅÍÇï¸ä)"
5659,Sleepr_Hat,Sleeper Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=½½¸®ÆÛ¸ðÀÚ)"
5670,Aniv_Star_Hat,Aniv Star Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¾Ö´Ï¹ö¼­¸®º°¸ðÀÚ)"
5672,Southern_Cross,Southern Cross,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¼­ÀüÅ©·Î½º)"
5675,Poring_Letter,Poring Letter,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Æ÷¸µÆíÁö)"
5680,Hawkeyes,Hawkeyes,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¸ÅÀÇ´«)"
5693,No_Fear_Underware,No Fear Underwear,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=NOFEAR¾ð´õ¿þ¾î)"
5694,No_Fear_P_Headgear,No Fear P Headgear,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=NOFEARÆÄ¿öÇìµå±â¾î)"
5737,Cactus_Hat,Cactus Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¼±ÀÎÀå¸ðÀÚ)"
5739,Sagittarius_Crown,Sagittarius Crown,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÀÎ¸¶±Ã¿Õ°ü)"
5743,Orange_Stem_Hat,Orange Stem Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=±Ö²ÀÁö¸ðÀÚ)"
5745,Capricon_Diadem,Capricorn Diadem,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¸¶°¥±Ãº¸°ü)"
5765,Black_Tail_Ribbon,Black Tail Ribbon,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=°ËÀºÅ×ÀÏ¸®º»)"
5777,Remover_Hat,Remover Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¸®¹«¹ö¸ðÀÚ)"
5783,YellowBunny_Hairband,YellowBunny Hairband,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=³ë¶õÅä³¢¸Ó¸®¶ì)"
5784,PinkBunny_Hairband,PinkBunny Hairband,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=ÇÎÅ©Åä³¢¸Ó¸®¶ì)"
5785,Green_Bunny_Hairband,Green Bunny Hairband,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=±×¸°Åä³¢¸Ó¸®¶ì)"
5791,Tenkaippin_Ramen,Tenkaippin Ramen,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÃµÇÏÀÏÇ°¶ó¸é)"
5848,Robin_Eyepatch,Robin Eyepatch,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=ÀÇÀû_¾È´ë)"
5849,Doctor_Hairband,Doctor Hairband,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=ÀÇ»ç_¸Ó¸®¶ì)"
5868,Bushy_Moustache,Bushy Moustache,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=bRO, Resource=¹«¼ºÇÑÄà¼ö¿°)"
5870,Bunny_Egg_Shell,Bunny Egg Shell,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=bRO, Resource=Åä³¢¸Ó¸®¾Ë²®Áú)"
5874,Circlet_Of_Kriemhild,Circlet Of Kriemhild,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=Å©¸²ÈúÆ®ÀÇ¿Õ°ü)"
5875,Diadem_Of_Bruenhild,Diadem Of Bruenhild,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ºê·ôÈúÆ®ÀÇ¿Õ°ü)"
5878,Miracle_Blue_Rose,Miracle Blue Rose,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=±âÀûÀÇÇª¸¥Àå¹Ì)"
5880,Cheering_Whistle_J,Cheering Whistle,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÀÀ¿ø¿ëÈ£·ç¶ó±â)"
5890,Angel_Earing,Angel's Whisper,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=bRO, Resource=Ãµ»çÀÇ±Í°ÉÀÌ)"
5891,Black_Cat_Hat,Black Cat Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=twRO, Resource=°ËÀº°í¾çÀÌ¸ðÀÚ)"
5896,EGGTART_HAT,Egg Tart Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=twRO, Resource=¿¡±×Å¸¸£Æ®¸ðÀÚ)"
5897,Ascendant_Crown_,Ascendant Crown,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¾î¼¾µåÅ©¶ó¿î)"
5899,Black_Ribbon_,Black Ribbon,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=±î¸¸¸®º»¸Ó¸®¶ì)"
5900,Divine_Guard_Hat_,Divine Guard Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=½ÅÀÇº¸È£)"
5902,Harvester_Hat_,Harvester Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=Ãß¼öÀÇ¸ðÀÚ)"
5903,Hitaikakushi_,Deadman Bandana,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=Á×ÀºÀÚÀÇµÎ°Ç)"
5904,Inconspicuous_Hat_,Inconspicuous Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¾ÆÁÖÆò¹üÇÑ¸ðÀÚ)"
5905,Lyrica_Hat_,Lyrica Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¸®¸®Ä«¸ðÀÚ)"
5906,Oni_Horns_,Oni Horns,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¿À´ÏÀÇ»Ô)"
5907,Sea_Captain_Hat_,Sea Captain Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¹Ù´ÙÄ¸Æ¾¸ðÀÚ)"
5908,Accessory_of_Ascetic,Priest Decoration,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=µµ»çÀÇÀå½Ä)"
5917,Yellow_Scarf,Yellow Scarf,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=³ë¶õ½ºÄ«ÇÁ)"
5919,Camellia_Hair_Pin,Camellia Hair Ornament,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¾Ö±âµ¿¹é²Éºñ³à)"
5921,Monster_Fish_Gill,Monster Fish Gills,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=±«¾îÀÇ¾Æ°¡¹Ì)"
5924,DragonKnight_Eyepatch,Dragon Knight Eye Patch,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¿ë±â»çÀÇ¾È´ë)"
5937,Flying_Helmet,Flying Helmet,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ºñÇà³¯°³¸ðÀÚ)"
5940,Boitata_Hat_J,Boitata Hat,Headgear,"Regional headgear ClassNum/View mismatch (Server=jRO, ClassNum=808, View=1150)"
5943,Owlviscount_Silk_Hat,Owl Viscount Silk Hat,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¾Æ¿ï¹ÙÀÌÄ«¿îÆ®ÀÇ½ÇÅ©ÇÞ)"
5945,Red_Pencil_Mouth,Well-Chewed Pencil (Red),Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÀÔ¿¡¹«´Â»¡°£¿¬ÇÊ)"
5946,Drama_Clockwork,Drama Clockwork,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¿¬±Ø¿ëÅÂ¿±Å°)"
5963,Wing_Headphone,Wing Headphone,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=³¯°³ÇìµåÆù)"
5966,KarduiEar,Kardui Ear,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Ä«¸£µàÀÌÀÇ±Í)"
5968,DVAngelNurseCap,Clergy Nurse Cap,Headgear,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¼ºÃµ»çÀÇ°£È£¸ð)"
5975,Zherlthsh_Doll,Zealotus Doll,Headgear,"Regional headgear appearance ClassNum has no non-regional reuse evidence (Server=jRO, ClassNum=1376)"
13077,Kagekiri,Kagekiri,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=Ä«°ÔÅ°¸®)"
13080,Rogue_Kinfe,Rogue Kinfe,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=·¯±×Áî³ªÀÌÇÁ)"
13081,Octo_kitchen_Knife,Octopus Knife,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¹®¾îÁ¶¸®½ÄÄ®)"
13084,Eihwaz_Knife,Eihwaz Knife,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¿¡ÀÌ¿öÁî³ªÀÌÇÁ)"
13085,Volcano_Knife,Volcano Knife,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Ä«³ë³ªÀÌÇÁ)"
13087,Hagalas_Knife,Hagalas Knife,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÇÏ°¥¶óÁî³ªÀÌÇÁ)"
13097,Ru_Blue_Dagger,Blue Dagger,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¼­´ÃÇÑ´ë°Å)"
13098,Ru_Blue_Ashura,Blue Ashura,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=¼­´ÃÇÑ¾Æ½´¶ó)"
13130,Gun_of_Trust,Thunder Gun,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=½Å·ÚÀÇ±ÇÃÑ)"
13131,Gun_of_Trust2,[Rental] Hunting Gun,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Overfishing_Gun)"
13137,Avenger_Revolver,Avenger Handgun,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¾îº¥Àú¸®º¼¹ö)"
13139,Blue_Gun,Blue Gun,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÀÏº®ÃÑ)"
13141,Mirage_Handgun,Mirage Handgun,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¹Ì¶óÁêÇÚµå°Ç)"
13339,Neev_Huuma_Shuriken,Neev Huuma Shuriken,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Neev_Huuma_Shuriken)"
13343,Variant_Huuma,Abyss Huuma,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=µ¥¸óÇ³¸¶¼ö¸®°Ë)"
13444,Pala,Pala,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=ÆÈ¶ó)"
13449,Gladius_Daemonicus,Gladius Daemonicus,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=±Û¶óµð¿À½º´ÙÀÌ¸ð´ÏÄí½º)"
13473,Gods_Sword,God's Sword,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=½ÅÀÇ°Ë)"
13492,Variant_Blade,Abyss Blade,Weapons,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=µ¥¸óºí·¹ÀÌµå)"
15049,Armor_Of_Faith,Armor Of Faith,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=bRO, Resource=½ÅÀÇ)"
15050,Armor_Of_Sanctity,Armor Of Sanctity,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=twRO, Resource=¼ºÀÇ)"
15060,Sky_Blue_Smock,Sky Blue Smock,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÇÏ´Ã»ö½º¸ðÅ©)"
15069,Suit_Of_Sid,Suit Of Sid,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=bRO, Resource=½ÃµåÀÇ½´Ã÷)"
15078,RK_Battle_Armor,Rune Knight Battle Armor,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=bRO, Resource=·éÇÃ·¹ÀÌÆ®)"
15087,Azure_Dragon_Armor,Azure Dragon Armor,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=Ã»·æÀÇ°©¿Ê)"
15088,School_Uniform,School Uniform,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=ÇÐ»ý±³º¹)"
15099,White_Tiger_Armor,White Tiger Armor,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¹éÈ£ÀÇ°©¿Ê)"
15104,FishingMan_Mail,Fisherman's Mail,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=ÇÇ½Ì¸Ç¸ÞÀÏ)"
15105,Kaftan,Kaftan,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=iRO, Resource=Ä«ÇÁÅº)"
15106,Engineer_Mail,Engineer Mail,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¿£Áö´Ï¾î¸ÞÀÏ)"
15107,Entomologist_Mail,Entomologist Mail,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¿£Æ®¸¶·¯Áö½ºÆ®¸ÞÀÏ)"
15109,Egregori_Mail,Egregori Mail,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¿¡±×¸®°í¸®¸ÞÀÏ)"
15112,Military_Mail,Military Mail,Armor,"Regional unique identified resource has no non-regional reuse evidence (Server=jRO, Resource=¹Ð¸®ÅÍ¸®¸ÞÀÏ)"
