Item ID,AegisName,Server English Name,Category,EquipLevelMin,Slots,Reason
1678,Ru_Gold_Wand,Ru Gold Wand,Weapons,120,2,Item ID absent from System/itemInfo_true.lub
1679,Rafini_Staff_S,Laphine Staff,Weapons,100,2,Item ID absent from System/itemInfo_true.lub
1698,Thanos_Staff_J,Requiem Arc Wand,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
1840,Thanos_Knuckle_J,Requiem Knuckle,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
1841,Claw_Of_Flash_,Claw of Flash,Weapons,105,3,Item ID absent from System/itemInfo_true.lub
1842,Diva_Claw,Diva Claw,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
1843,Mirage_Claw,Mirage Claw,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
1844,Sinister_Fist_J,Fist of Evil,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
1861,Variant_Claw,Abyss Claw,Weapons,165,1,Item ID absent from System/itemInfo_true.lub
1868,Combo_Fist_J,Fierce Dragon Fighting,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
1869,Asura_Bandage_J,Fighting God's Vantage,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
1872,Knuckle_Of_Infinite,Knuckle of Infinite,Weapons,130,0,Item ID absent from System/itemInfo_true.lub
1873,Comp_Iron_Nail_K,[Not For Sale] Iron Nail,Weapons,100,2,Item ID absent from System/itemInfo_true.lub
1936,Ru_Blue_Violin,Ru Blue Violin,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
1937,Ru_Gold_Violin,Ru Gold Violin,Weapons,120,2,Item ID absent from System/itemInfo_true.lub
1940,Trumpet_Shell,Trumpet Shell,Weapons,130,1,Item ID absent from System/itemInfo_true.lub
1942,Thanos_Violin_J,Requiem Violin,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
1945,Diva_Viollin,Diva Viollin,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
1946,Mirage_Viollin,Mirage Viollin,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
1947,Sinister_Viollin_J,Violin of Evil,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
1948,Hippie_Guitar_J,Hippie Guitar,Weapons,130,3,Item ID absent from System/itemInfo_true.lub
1991,Ru_Blue_Whip,Ru Blue Whip,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
1992,Ru_Gold_Whip,Ru Gold Whip,Weapons,120,2,Item ID absent from System/itemInfo_true.lub
1993,Concertina_Wire,Barbed Wire,Weapons,105,1,Item ID absent from System/itemInfo_true.lub
1998,Thanos_Whip_J,Requiem Blade Whip,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
2028,Aion_Staff,Iron Staff,Weapons,110,2,Item ID absent from System/itemInfo_true.lub
2032,Thanos_Rod_J,Requiem Wizardry Staff,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
2034,Avenger_Wizardy_Staff,Avenger Wizard Staff,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
2035,Diva_Staff,Diva Staff,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
2036,Mirage_Staff,Mirage Staff,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
2037,Sinister_Staff_J,Staff of Evil,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
2038,Staff_170_J,Sunflower Kid,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
2041,Jirant_Staff,Flame Thunder Witch's Wand,Weapons,130,1,Item ID absent from System/itemInfo_true.lub
2042,Neev_Wizardy_Staff,Neev Wizardy Staff,Weapons,170,1,Item ID absent from System/itemInfo_true.lub
2043,Neev_Arc_Wand,Neev Arc Wand,Weapons,170,1,Item ID absent from System/itemInfo_true.lub
2044,Neev_Holy_Stick,Neev Holy Stick,Weapons,170,1,Item ID absent from System/itemInfo_true.lub
2045,Neev_Divine_Cross,Neev Divine Cross,Weapons,170,1,Item ID absent from System/itemInfo_true.lub
2047,Jirant_Staff_BR,Witch's Staff,Weapons,130,1,Item ID absent from System/itemInfo_true.lub
2053,Variant_Staff,Abyss Staff,Weapons,165,1,Item ID absent from System/itemInfo_true.lub
2059,Survival_Staff_IL_J,Illusion Survivor's Staff,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
2061,Staff_Of_Miracle_J,Staff of Miracle,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
2062,Gravitation_Staff_J,Gravitation Staff,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
2063,Adorare_Staff_J,Wand of Worship,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
2064,Comp_Iron_Staff,[Not For Sale] Aeon Staff,Weapons,100,2,Item ID absent from System/itemInfo_true.lub
2190,Ancient_Shield_Of_Aeon,Ancient Shield Of Aeon,Shields,130,0,Item ID absent from System/itemInfo_true.lub
2196,White_Gold_Shield,White Gold Shield,Shields,100,1,Item ID absent from System/itemInfo_true.lub
2198,Lapine_Shield,Lapine Shield,Shields,100,1,Item ID absent from System/itemInfo_true.lub
2495,Egir_Shoes,Egir Shoes,Shoes,110,1,Item ID absent from System/itemInfo_true.lub
5897,Ascendant_Crown_,Ascendant Crown,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
5898,Autumn_Headband,Autumn Headband,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
5899,Black_Ribbon_,Black Ribbon,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
5900,Divine_Guard_Hat_,Divine Guard Hat,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
5901,Focus_Beret_,Focus Beret,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
5902,Harvester_Hat_,Harvester Hat,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
5904,Inconspicuous_Hat_,Inconspicuous Hat,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
5905,Lyrica_Hat_,Lyrica Hat,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
5906,Oni_Horns_,Oni Horns,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
5907,Sea_Captain_Hat_,Sea Captain Hat,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
5911,C_Imperial_Feather,Costume Imperial Feather,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
5913,C_Anemos_Mask,Costume Mask of Anemos,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
5965,Riot_Chip_J,Riot Chip,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
5967,FlyingGalapago,Flying Galapago,Headgear,110,0,Item ID absent from System/itemInfo_true.lub
5969,QueenAnzRevenge,Queen Anz Revenge,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
5977,C_Poker_Card_In_Mouth,Costume: Poker Card In Mouth,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
5981,C_Satanic_Chain_P,Costume Flapping Devil Wings,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
9039,Bacsojin_Egg,Bacsojin Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9057,Egg_Of_Tiny,Egg Of Tiny,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9060,Brownie_Egg,Domovoi Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9061,Marin_Egg,Marin Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9063,Woodie_Egg,Woodie Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9064,Elephant_Egg,Elephant Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9065,Gorilla_Egg,Gorilla Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9066,Lion_Egg,Lion Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9067,Rhino_Egg,Rhino Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9072,Orc_Hero_Egg,Orc Hero Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9073,Orc_Lord_Egg,Orc Lord Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9074,Rubylit_Egg,Rubylit Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9075,Sapphilit_Egg,Sapphilit Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9076,Emelit_Egg,Emelit Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9077,Topalit_Egg,Topalit Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9078,Amelit_Egg,Amelit Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9079,Mythlit_Egg,Mythlit Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9080,Tamadora_Egg,Tamadora Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
9114,Pouring_Egg,Pouring Egg,Pet Eggs,0,0,Item ID absent from System/itemInfo_true.lub
10021,Round_Hair_Ornament,Circular Headgear,Pet Equipment,0,0,Item ID absent from System/itemInfo_true.lub
10039,Tw_Backpack,Tw Backpack,Pet Equipment,0,0,Item ID absent from System/itemInfo_true.lub
10041,Twinkle_Star_Button,Shiny Star Button,Pet Equipment,0,0,Item ID absent from System/itemInfo_true.lub
13077,Kagekiri,Kagekiri,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
13081,Octo_kitchen_Knife,Octopus Knife,Weapons,105,3,Item ID absent from System/itemInfo_true.lub
13097,Ru_Blue_Dagger,Blue Dagger,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
13098,Ru_Blue_Ashura,Blue Ashura,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
13099,Ru_Blue_Knife,Blue Knife,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
13134,ALTAIR_ARES_J,Altair Ares,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
13135,H_FEATHER_H_FIRE_J,Heaven's Feather & Hell's Fire,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
13137,Avenger_Revolver,Avenger Handgun,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
13140,Diva_Handgun,Diva Handgun,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
13141,Mirage_Handgun,Mirage Handgun,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
13142,Sinister_Revolver_J,Handgun of Evil,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
13145,Calf_Deathadder_J,Metal Deathadder,Weapons,130,1,Item ID absent from System/itemInfo_true.lub
13333,Diva_Huuma,Diva Huuma,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
13334,Mirage_Huuma,Mirage Huuma,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
13335,Sinister_Huuma_J,Huuma of Evil,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
13339,Neev_Huuma_Shuriken,Neev Huuma Shuriken,Weapons,170,1,Item ID absent from System/itemInfo_true.lub
13340,Huuma_Hundred_Petal_J,Huuma Shuriken of Dancing Petals,Weapons,130,3,Item ID absent from System/itemInfo_true.lub
13343,Variant_Huuma,Abyss Huuma,Weapons,165,1,Item ID absent from System/itemInfo_true.lub
13448,Magical_Blade_,Magical Blade,Weapons,105,3,Item ID absent from System/itemInfo_true.lub
13451,Ru_Blue_Sword,Ru Blue Sword,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
13452,Ru_Gold_Sword,Ru Gold Sword,Weapons,120,2,Item ID absent from System/itemInfo_true.lub
13465,Save_The_King,Save the King,Weapons,100,3,Item ID absent from System/itemInfo_true.lub
13466,Diva_Blade,Diva Blade,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
13467,Mirage_Blade,Mirage Blade,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
13468,Sinister_Saber_J,Saber of Evil,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
13470,Sealed_Magic_SwordJ,Sealed Magic Sword,Weapons,120,3,Item ID absent from System/itemInfo_true.lub
13471,Sealed_Evil_SwordJ,Sealed Evil Sword,Weapons,120,3,Item ID absent from System/itemInfo_true.lub
13472,Sealed_Max_SwordJ,Sealed Maximum Sword,Weapons,120,3,Item ID absent from System/itemInfo_true.lub
13473,Gods_Sword,God's Sword,Weapons,120,2,Item ID absent from System/itemInfo_true.lub
13492,Variant_Blade,Abyss Blade,Weapons,165,1,Item ID absent from System/itemInfo_true.lub
13499,Sword_Kladenets,Kladenets,Weapons,130,1,Item ID absent from System/itemInfo_true.lub
15061,Egir_Armor,Egir Armor,Armor,110,1,Item ID absent from System/itemInfo_true.lub
15123,Whikebain_Suit,Whikebain Suit,Armor,105,1,Item ID absent from System/itemInfo_true.lub
15148,Supplement_Part_Str_J,Powered Mail,Armor,100,0,Item ID absent from System/itemInfo_true.lub
15149,Upgrade_Part_Plate_J,Guardian Unit,Armor,100,0,Item ID absent from System/itemInfo_true.lub
15173,Cursed_Devils_Mail,Curse-Spell Mail,Armor,130,1,Item ID absent from System/itemInfo_true.lub
15187,Diva_Robe,Diva Robe,Armor,150,1,Item ID absent from System/itemInfo_true.lub
15188,Mirage_Robe,Mirage Robe,Armor,150,1,Item ID absent from System/itemInfo_true.lub
15191,Khalitzburg_Armor,Khalitzburg Knight Armor,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15205,Holy_Coat,Medical Scrubs,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15207,2017RTCRobe,2017 RTC Battle Robe,Armor,100,0,Item ID absent from System/itemInfo_true.lub
15208,Rora_Plate_Mail,Lola's Plate Mail,Armor,130,1,Item ID absent from System/itemInfo_true.lub
15209,Drake_Coat,Drake Coat,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15213,YSF01_Plate_J,Y.S.F.0.1 Plate,Armor,170,1,Item ID absent from System/itemInfo_true.lub
15241,Vigilante_Suits_J,Vigilante Suit,Armor,130,1,Item ID absent from System/itemInfo_true.lub
15242,Robe_Of_Elemental_J,Spirit Robe,Armor,130,1,Item ID absent from System/itemInfo_true.lub
15243,Golden_Ninja_Suit_J,Bodyguard Suit,Armor,130,1,Item ID absent from System/itemInfo_true.lub
15244,Mine_Worker_Vest_J,Miner's Vest,Armor,130,1,Item ID absent from System/itemInfo_true.lub
15245,Hippie_Cloth_J,Nature Suit,Armor,130,1,Item ID absent from System/itemInfo_true.lub
15248,Whikebain_Suit_BR,Whikebain Suit,Armor,105,1,Item ID absent from System/itemInfo_true.lub
15249,Antonio_Coat,Antonio's Coat,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15277,Doram_Ele_Suit_J,Special Doram Suit,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15283,Armor_of_Rosary,Mighty Black Threaded Armor,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15349,Brave_suit,Brave Suit,Armor,165,1,Item ID absent from System/itemInfo_true.lub
15362,Apollo_Armor_TW,Apollo Armor,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15363,Mars_Armor_TW,Mars Armor,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15365,Vinus_Armor_TW,Venus Armor,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15372,Phreeoni_Wing_BR,Phreeoni Robe,Garments,100,1,Item ID absent from System/itemInfo_true.lub
15384,Rite_Robe,Ritual Robe,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15386,Kings_Mail,King's Mail,Armor,130,1,Item ID absent from System/itemInfo_true.lub
15387,Jirant_Dress,Witch's Dress,Armor,130,1,Item ID absent from System/itemInfo_true.lub
15405,Fafnir_Scale_J,Fafnir Scale,Armor,100,0,Item ID absent from System/itemInfo_true.lub
15407,WhiteknightArmor,Whiteknight Armor,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15417,Armor_of_Purple_Thread,Armor of Purple Thread,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15419,Armor_of_White_Thread,Armor of White Thread,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15430,Diana_Suits,Diana Coat,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15431,Mercury_Suits,Mercury Suit,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15432,Bacchus_Armor,Bacchus Armor,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15433,Neptune_Uniform,Neptune's suit,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15460,Rachel_Armor,Awakened Glacier Armor,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15471,ROZ_FV_CassockA_VIT,Shining Priest's Robe,Armor,150,1,Item ID absent from System/itemInfo_true.lub
15476,Comp_Diabolus_Wing,[Not For Sale] Diabolus Wing,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
15479,Comp_Holy_Coat,[Not For Sale] Holy White Cloth,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15480,LunarEclipse_Armor_TH,Lunar Eclipse Armor,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15481,Comp_LunarEclipse_A_TH,[Not For Sale] Lunar Eclipse Armor,Armor,100,1,Item ID absent from System/itemInfo_true.lub
15482,Worker_shirt,Worker Shirt,Armor,175,1,Item ID absent from System/itemInfo_true.lub
15483,Comp_Worker_shirt,[Not For Sale] Worker Shirt,Armor,175,1,Item ID absent from System/itemInfo_true.lub
15484,Comp_Celine_Dress,[Not For Sale] Celine's Dress,Armor,130,1,Item ID absent from System/itemInfo_true.lub
15825,C_Black_Musang_J,Costume Black Musang Hat,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15836,C_Skarlet_Band_EXE,Costume Blazing Angel Wings,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15838,C_VesperHeadGear_J,Costume Vesper Headgear,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15839,C_Droop_Gunslinger_J,Costume Drooping Rebellion,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15840,C_Bio_Protector,Costume Bike Protector,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15841,C_Hat_of_Goggle,Costume Goggles Hat,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15842,C_Disapear_Time_J,Costume Magic Time,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15844,C_Cow_Hat1_J,Costume Muscle Hat,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15846,C_Artist_Silk_Hat,Costume Artist's Silk Hat,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15847,C_EXE_Wing_Cap_TH,Costume Unknown Feather Hat,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15851,C_Freyja_Crown_J,Costume Freyja Crown,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15853,C_Gold_Ingot_Poring_J,Costume Gold Ingot Poring,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15854,C_Phigasia_Scarf_EXE,Costume Phigasia Scarf,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15875,C_King_Of_Spirit_Circle,Costume King of Spirit Circle,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15876,C_RTC_Second_Best,Costume RTC Second Best (Red),Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15888,C_Hand_Of_Devil,Costume Dragon Claw Helm,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15890,C_BLACKDEATHKING_GOLDEN,Costume Black Death King's Hat,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15891,Mountain_Helmet,Mountain Helmet,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
15892,Themis_Helm,Themis Helm,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
15893,C_Helm_Of_Sun_V,Costume Hat of the Sun God (Upper),Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15894,C_Rebirth_Circlet,Costume Rebirth Crown,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15897,Rebirth_Circlet,Rebirth Crown,Headgear,130,1,Item ID absent from System/itemInfo_true.lub
15898,Kings_Crown_A,Awakened Old King's Crown,Headgear,130,1,Item ID absent from System/itemInfo_true.lub
15899,C_Kings_Crown_A,Costume Awakened Old King Crown,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15904,C_Love_Guard_V,Costume Love Guard,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15906,Northern_Cross,Northern Cross,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
15925,C_Splash_Hat,Costume Syrup Water Balloon,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15926,C_Beer_Server_TH,Costume Beer Server,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15945,Metal_Riffs_Ring,Metal Riffs Ring,Accessories,100,1,Item ID absent from System/itemInfo_true.lub
15948,EyePatch_Power_TH,Eye Patch Of Power,Headgear,150,0,Item ID absent from System/itemInfo_true.lub
15949,Comp_EyePatch_P_TH,[Not for Sale] Eye Patch Of Power,Headgear,150,0,Item ID absent from System/itemInfo_true.lub
15950,EyePatch_Power_TH_,Eye Patch Of Power,Headgear,150,1,Item ID absent from System/itemInfo_true.lub
15951,Comp_EyePatch_P_TH_,[Not for Sale] Eye Patch Of Power,Headgear,150,1,Item ID absent from System/itemInfo_true.lub
15952,C_15th_Nov_Helmet,Costume 15th Nov Helmet,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15954,C_Wichienmaat_Bangkaew,Costume Wichienmaat & Bangkaew,Costumes,0,0,Item ID absent from System/itemInfo_true.lub
15956,Helmet_Of_Siegfried_TH,Helmet Of Siegfried TH,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
15957,Comp_Helmet_Of_Sieg_TH,[Not for Sale] Helmet Of Siegfried TH,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
15959,Comp_Phantom_Cap,[Not for Sale] Phantom of Masquerade,Headgear,130,1,Item ID absent from System/itemInfo_true.lub
15960,Comp_Scorpio_Diadem_K,[Not for Sale] Scorpio Celestial Coronet K,Headgear,130,1,Item ID absent from System/itemInfo_true.lub
15961,Comp_Clock_Casket_RD,[Not for Sale] Red Clock Casquette,Headgear,130,1,Item ID absent from System/itemInfo_true.lub
15962,Comp_L_Sorcerer_Crown,[Not for Sale] Great Sorcerer Crown,Headgear,130,1,Item ID absent from System/itemInfo_true.lub
15963,Comp_Ignis_CapK,[Not for Sale] Ignis Cap K,Headgear,130,1,Item ID absent from System/itemInfo_true.lub
15964,Comp_Sagi_DiademK,[Not for Sale] Sagittarius Celestial Coronet K,Headgear,130,1,Item ID absent from System/itemInfo_true.lub
15965,Comp_Stripe_Hat,[Not for Sale] Stripe Hat,Headgear,130,1,Item ID absent from System/itemInfo_true.lub
15981,AAT_Magic_TH,All Above Time (Magic),Headgear,100,0,Item ID absent from System/itemInfo_true.lub
15982,AAT_Range_TH,All Above Time (Range),Headgear,100,0,Item ID absent from System/itemInfo_true.lub
15983,AAT_Melee_TH,All Above Time (Melee),Headgear,100,0,Item ID absent from System/itemInfo_true.lub
15984,Comp_Heavenly_Order_,[Not For Sale] Heavenly Order,Headgear,100,1,Item ID absent from System/itemInfo_true.lub
15985,Comp_LittleGarden,[Not For Sale] Little Garden,Headgear,100,0,Item ID absent from System/itemInfo_true.lub
16036,Ru_Blue_Mace,Blue Mace,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
16037,Ru_Gold_Mace,Ru Gold Mace,Weapons,120,2,Item ID absent from System/itemInfo_true.lub
16043,Meteor_Strike,Meteor Strike,Weapons,110,2,Item ID absent from System/itemInfo_true.lub
16053,Lora_Iron_Ball,Lora's Iron Flail,Weapons,130,3,Item ID absent from System/itemInfo_true.lub
16058,Diva_Mace,Diva Mace,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
16059,Mirage_Mace,Mirage Mace,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
16061,Sinister_Mace_J,Mace of Evil,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
16087,Variant_Mace,Abyss Mace,Weapons,165,1,Item ID absent from System/itemInfo_true.lub
18117,Royal_Bow,Royal Bow,Weapons,105,1,Item ID absent from System/itemInfo_true.lub
18126,Ru_Blue_Bow,Blue Bow,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
18127,Ru_Gold_Bow,Ru Gold Bow,Weapons,120,2,Item ID absent from System/itemInfo_true.lub
18143,Avenger_Hunter_Bow,Avenger Hunter Bow,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
18146,Diva_Wing,Diva Wing,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
18147,Mirage_Wing,Mirage Wing,Weapons,150,1,Item ID absent from System/itemInfo_true.lub
18148,Sinister_Bow_J,Bow of Evil,Weapons,100,0,Item ID absent from System/itemInfo_true.lub
18153,Neev_Bow_Of_Rogue,Neev Bow Of Rogue,Weapons,170,1,Item ID absent from System/itemInfo_true.lub
18154,Neev_Hunter_Bow,Neev Hunter Bow,Weapons,170,1,Item ID absent from System/itemInfo_true.lub
18155,Neev_CrossBow,Neev CrossBow,Weapons,170,1,Item ID absent from System/itemInfo_true.lub
18163,Vigilante_Bow_J,Vigilante Bow,Weapons,130,3,Item ID absent from System/itemInfo_true.lub
18177,Variant_Wing,Abyss Wing,Weapons,165,1,Item ID absent from System/itemInfo_true.lub
18193,Rapid_Fire_C_Bow_J,Rapid Fire,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
18194,Sharp_Star_Bow_J,Sharp Star,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
18195,Aiming_Bow_J,Aiming Bow,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
18196,Falken_Shooter_J,Falken Shooter,Weapons,100,1,Item ID absent from System/itemInfo_true.lub
