Tier,Job Family,Pool Code,Slot,Item ID,AegisName,English Name,Jobs Field,Classes Field
general,General Shadows,G01,Any slot,24043,S_Dexterous_Weapon,Dexterous Shadow Weapon,,
general,General Shadows,G01,Any slot,24044,S_Vital_Shield,Vital Shadow Shield,,
general,General Shadows,G01,Any slot,24045,S_Athletic_Shoes,Athletic Shadow Shoes,,
general,General Shadows,G01,Any slot,24046,S_Resist_Spell_Pendant,Resist Spell Power Pendant (Shadow),,
general,General Shadows,G01,Any slot,24047,S_Rapid_Pendant,Rapid Pendant (Shadow),,
general,General Shadows,G01,Any slot,24048,S_Caster_Pendant,Caster Pendant (Shadow),,
general,General Shadows,G01,Any slot,24049,S_Hard_Earring,Hard Earring (Shadow),,
general,General Shadows,G01,Any slot,24050,S_Wise_Earring,Wise Earring (Shadow),,
general,General Shadows,G01,Any slot,24051,S_Athena_Earring,Athena Earring (Shadow),,
general,General Shadows,G01,Any slot,24052,S_Cranial_Shield,Cranial Shield (Shadow),,
general,General Shadows,G01,Any slot,24053,S_Safeguard_Shield,Safeguard Shield (Shadow),,
general,General Shadows,G01,Any slot,24054,S_Brutal_Shield,Brutal Shield (Shadow),,
general,General Shadows,G01,Any slot,24055,S_Gargantua_Shield,Gargantua Shield (Shadow),,
general,General Shadows,G01,Any slot,24056,S_Homers_Shield,Homers Shield (Shadow),,
general,General Shadows,G01,Any slot,24057,S_Dragoon_Shield,Dragoon Shield (Shadow),,
general,General Shadows,G01,Any slot,24058,S_Satanic_Shield,Satanic Shield (Shadow),,
general,General Shadows,G01,Any slot,24059,S_Flameguard_Shield,Flameguard Shield (Shadow),,
general,General Shadows,G01,Any slot,24060,S_Requiem_Shield,Requiem Shield (Shadow),,
general,General Shadows,G01,Any slot,24061,S_Cadi_Shield,Cadi Shield (Shadow),,
general,General Shadows,G01,Any slot,24062,S_Bloody_Shoes,Bloody Shoes (Shadow),,
general,General Shadows,G01,Any slot,24063,S_Liberation_Shoes,Liberation Shoes (Shadow),,
general,General Shadows,G01,Any slot,24064,S_Chemical_Shoes,Chemical Shoes (Shadow),,
general,General Shadows,G01,Any slot,24065,S_Clamorous_Shoes,Clamorous Shoes (Shadow),,
general,General Shadows,G01,Any slot,24066,S_Insecticide_Shoes,Insecticide Shoes (Shadow),,
general,General Shadows,G01,Any slot,24067,S_Fisher_Shoes,Fisher Shoes (Shadow),,
general,General Shadows,G01,Any slot,24068,S_Seraphim_Shoes,Seraphim Shoes (Shadow),,
general,General Shadows,G01,Any slot,24069,S_Beholder_Shoes,Beholder Shoes (Shadow),,
general,General Shadows,G01,Any slot,24070,S_Divine_Shoes,Divine Shoes (Shadow),,
general,General Shadows,G01,Any slot,24071,S_Dragoon_Shoes,Dragoon Shoes (Shadow),,
general,General Shadows,G01,Any slot,24072,S_Big_Armor,Large Shadow Armor,,
general,General Shadows,G01,Any slot,24073,S_Medium_Armor,Medium Shadow Armor,,
general,General Shadows,G01,Any slot,24074,S_Small_Armor,Small Shadow Armor,,
general,General Shadows,G01,Any slot,24075,S_Big_Weapon,Large Shadow Weapon,,
general,General Shadows,G01,Any slot,24076,S_Medium_Weapon,Medium Shadow Weapon,,
general,General Shadows,G01,Any slot,24077,S_Small_Weapon,Small Shadow Weapon,,
general,General Shadows,G01,Any slot,24078,S_Spiritual_Weapon,Spiritual Shadow Weapon,,
general,General Shadows,G01,Any slot,24079,S_Spiritual_Earring,Spiritual Shadow Earring,,
general,General Shadows,G01,Any slot,24080,S_Spiritual_Pendent,Spiritual Shadow Pendant,,
general,General Shadows,G01,Any slot,24081,S_Malicious_Armor,Malicious Shas Shadow Armor,,
general,General Shadows,G01,Any slot,24082,S_Malicious_Shoes,Malicious Shas Shadow Shoes,,
general,General Shadows,G01,Any slot,24083,S_Malicious_Shield,Malicious Shas Shadow Shield,,
general,General Shadows,G01,Any slot,24084,S_Gemstone_Armor,Gemstone Shadow Armor,,
general,General Shadows,G01,Any slot,24085,S_Gemstone_Shoes,Gemstone Shadow Shoes,,
general,General Shadows,G01,Any slot,24086,S_Gemstone_Shield,Gemstone Shadow Shield,,
general,General Shadows,G01,Any slot,24087,S_Gemstone_Weapon,Gemstone Shadow Weapon,,
general,General Shadows,G01,Any slot,24088,S_Gemstone_Earring,Gemstone Shadow Earring,,
general,General Shadows,G01,Any slot,24089,S_Gemstone_Pendent,Gemstone Shadow Pendant,,
general,General Shadows,G01,Any slot,24090,S_Stability_Shield,Stability Shadow Shield,,
general,General Shadows,G01,Any slot,24091,S_Plasterer's_Armor,Harrods Plaster Shadow Armor,,
general,General Shadows,G01,Any slot,24092,S_Plasterer's_Shoes,Harrods Plaster Shadow Shoes,,
general,General Shadows,G01,Any slot,24093,S_Insomniac_Armor,Insomnia Shadow Armor,,
general,General Shadows,G01,Any slot,24094,S_Insomniac_Shoes,Insomnia Shadow Shoes,,
general,General Shadows,G01,Any slot,24095,S_Peerless_Armor,Peerless Shadow Armor,,
general,General Shadows,G01,Any slot,24096,S_Peerless_Shoes,Peerless Shadow Shoes,,
general,General Shadows,G01,Any slot,24097,S_Adurate_Armor,Andre Shadow Armor,,
general,General Shadows,G01,Any slot,24098,S_Adurate_Shoes,Andre Shadow Shoes,,
general,General Shadows,G01,Any slot,24099,Unfreez_Weapon_S,Unfreezing Shadow Weapon,,
general,General Shadows,G01,Any slot,24100,Unfreeze_Earing_S,Unfreezing Shadow Earring,,
general,General Shadows,G01,Any slot,24101,Unfreeze_Pendent_S,Unfreezing Shadow Pendant,,
general,General Shadows,G01,Any slot,24102,Vitality_Earing_S,Vitality Shadow Earring,,
general,General Shadows,G01,Any slot,24103,Vitality_Pendant_S,Vitality Shadow Pendant,,
general,General Shadows,G01,Any slot,24104,S_Neutral_Weapon,Neutral Shadow Weapon,,
general,General Shadows,G01,Any slot,24105,S_Neutral_Earring,Neutral Shadow Earring,,
general,General Shadows,G01,Any slot,24106,S_Neutral_Pendent,Neutral Shadow Pendant,,
general,General Shadows,G01,Any slot,24107,S_Curse_Lift_Earring,Frozen Curse Shadow Earring,,
general,General Shadows,G01,Any slot,24108,S_Curse_Lift_Pendent,Frozen Curse Shadow Pendant,,
general,General Shadows,G01,Any slot,24109,S_Caster_earring,Caster Shadow Earrings,,
general,General Shadows,G01,Any slot,24110,S_Caster_Weapon,Caster Shadow Weapon,,
general,General Shadows,G01,Any slot,24111,S_Spell_Flow_Shoes,Spellflow Shadow Shoes,,
general,General Shadows,G01,Any slot,24112,S_Spell_Flow_Armor,Spellflow Shadow Armor,,
general,General Shadows,G01,Any slot,24113,S_Spell_Flow_Shield,Spellflow Shadow Shield,,
general,General Shadows,G01,Any slot,24114,S_Greed_Armor,Grid Shadow Armor,,
general,General Shadows,G01,Any slot,24115,S_Greed_Shoes,Grid Shadow Shoes,,
general,General Shadows,G01,Any slot,24116,S_Greed_Shield,Grid Shadow Shield,,
general,General Shadows,G01,Any slot,24117,S_Greed_Weapon,Grid Shadow Weapon,,
general,General Shadows,G01,Any slot,24118,S_Greed_Earring,Grid Shadow Earring,,
general,General Shadows,G01,Any slot,24119,S_Greed_Pendant,Grid Shadow Pendant,,
general,General Shadows,G01,Any slot,24120,S_Heal_Armor,Heal Shadow Armor,,
general,General Shadows,G01,Any slot,24121,S_Heal_Shoes,Heal Shadow Shoes,,
general,General Shadows,G01,Any slot,24122,S_Heal_Shield,Heal Shadow Shield,,
general,General Shadows,G01,Any slot,24123,S_Heal_Weapon,Heal Shadow Weapon,,
general,General Shadows,G01,Any slot,24124,S_Heal_Earring,Heal Shadow Earring,,
general,General Shadows,G01,Any slot,24125,S_Heal_Pendant,Heal Shadow Pendant,,
general,General Shadows,G01,Any slot,24126,S_Hiding_Armor,Hiding Shadow Armor,,
general,General Shadows,G01,Any slot,24127,S_Hiding_Shoes,Hiding Shadow Shoes,,
general,General Shadows,G01,Any slot,24128,S_Hiding_Shield,Hiding Shadow Shield,,
general,General Shadows,G01,Any slot,24129,S_Hiding_Weapon,Hiding Shadow Weapon,,
general,General Shadows,G01,Any slot,24130,S_Hiding_Earring,Hiding Shadow Earring,,
general,General Shadows,G01,Any slot,24131,S_Hiding_Pendant,Hiding Shadow Pendant,,
general,General Shadows,G01,Any slot,24132,S_Cloaking_Armor,Cloaking Shadow Armor,,
general,General Shadows,G01,Any slot,24133,S_Cloaking_Shoes,Cloaking Shadow Shoes,,
general,General Shadows,G01,Any slot,24134,S_Cloaking_Shield,Cloaking Shadow Shield,,
general,General Shadows,G01,Any slot,24135,S_Cloaking_Weapon,Cloaking Shadow Weapon,,
general,General Shadows,G01,Any slot,24136,S_Cloaking_Earring,Cloaking Shadow Earring,,
general,General Shadows,G01,Any slot,24137,S_Cloaking_Pendant,Cloaking Shadow Pendant,,
general,General Shadows,G01,Any slot,24138,S_Teleport_Armor,Teleport Shadow Armor,,
general,General Shadows,G01,Any slot,24139,S_Teleport_Shoes,Teleport Shadow Shoes,,
general,General Shadows,G01,Any slot,24140,S_Teleport_Shield,Teleport Shadow Shield,,
general,General Shadows,G01,Any slot,24141,S_Teleport_Weapon,Teleport Shadow Weapon,,
general,General Shadows,G01,Any slot,24142,S_Teleport_Earring,Teleport Shadow Earring,,
general,General Shadows,G01,Any slot,24143,S_Teleport_Pendant,Teleport Shadow Pendant,,
general,General Shadows,G01,Any slot,24144,S_Steal_Armor,Steal Shadow Armor,,
general,General Shadows,G01,Any slot,24145,S_Steal_Shoes,Steal Shadow Shoes,,
general,General Shadows,G01,Any slot,24146,S_Steal_Shield,Steal Shadow Shield,,
general,General Shadows,G01,Any slot,24147,S_Steal_Weapon,Steal Shadow Weapon,,
general,General Shadows,G01,Any slot,24148,S_Steal_Earring,Steal Shadow Earring,,
general,General Shadows,G01,Any slot,24149,S_Steal_Pendant,Steal Shadow Pendant,,
general,General Shadows,G01,Any slot,24150,S_Infinity_Earring,Infinity Shadow Earring,,
general,General Shadows,G01,Any slot,24151,S_Infinity_Pendant,Infinity Shadow Pendant,,
general,General Shadows,G01,Any slot,24152,S_Solid_Weapon,Solid Shadow Weapon,,
general,General Shadows,G01,Any slot,24153,S_Solid_Earring,Solid Shadow Earring,,
general,General Shadows,G01,Any slot,24154,S_Immortal_Armor,Solid Shadow Armor,,
general,General Shadows,G01,Any slot,24155,S_Immortal_Pendant,Solid Shadow Pendant,,
general,General Shadows,G01,Any slot,24156,S_Executioner_Weapon,Demi-Human Shadow Weapon,,
general,General Shadows,G01,Any slot,24157,S_Exorcist_Weapon,Exorcist Shadow Weapon,,
general,General Shadows,G01,Any slot,24158,S_Hunting_Weapon,Hunting Shadow Weapon,,
general,General Shadows,G01,Any slot,24159,S_Insect_Net_Weapon,Insect Shadow Weapon,,
general,General Shadows,G01,Any slot,24160,S_Fishing_Weapon,Fishing Shadow Weapon,,
general,General Shadows,G01,Any slot,24161,S_Dragon_Killer_Weapon,Dragon Killer Shadow Weapon,,
general,General Shadows,G01,Any slot,24162,S_Corrupt_Weapon,Angelus Shadow Weapon,,
general,General Shadows,G01,Any slot,24163,S_Vibration_Weapon,Formless Shadow Weapon,,
general,General Shadows,G01,Any slot,24164,S_Holy_Water_Weapon,Holy Water Shadow Weapon,,
general,General Shadows,G01,Any slot,24165,S_Scissors_Weapon,Plant Shadow Weapon,,
general,General Shadows,G01,Any slot,24166,S_Penetration_Earring,Penetration Shadow Earring,,
general,General Shadows,G01,Any slot,24167,S_Penetration_Pendent,Penetration Shadow Pendant,,
general,General Shadows,G01,Any slot,24168,S_Tempest_Earring,Tempest Shadow Earring,,
general,General Shadows,G01,Any slot,24169,S_Tempest_Pendent,Tempest Pendant Shadow,,
general,General Shadows,G01,Any slot,24170,S_M_Executioner_Weapon,Magic Demi-Human Shadow Weapon,,
general,General Shadows,G01,Any slot,24171,S_M_Exorcist_Weapon,Magic Exorcist Shadow Weapon,,
general,General Shadows,G01,Any slot,24172,S_M_Hunting_Weapon,Magic Hunting Shadow Weapon,,
general,General Shadows,G01,Any slot,24173,S_M_Insect_Net_Weapon,Magic Insect Shadow Weapon,,
general,General Shadows,G01,Any slot,24174,S_M_Fishing_Weapon,Magic Fishing Shadow Weapon,,
general,General Shadows,G01,Any slot,24175,S_M_Dragon_K_Weapon,Magic Dragon Killer Shadow Weapon,,
general,General Shadows,G01,Any slot,24176,S_M_Corrupt_Weapon,Magic Angelus Shadow Weapon,,
general,General Shadows,G01,Any slot,24177,S_M_Vibration_Weapon,Magic Formless Shadow Weapon,,
general,General Shadows,G01,Any slot,24178,S_M_Holy_Water_Weapon,Magic Holy Water Shadow Weapon,,
general,General Shadows,G01,Any slot,24179,S_M_Scissors_Weapon,Magic Caesars Shadow Weapon,,
general,General Shadows,G01,Any slot,24180,S_Bearers_Armor,Bearer's Shadow Armor,,
general,General Shadows,G01,Any slot,24181,S_Bearers_Shoes,Bearer's Shadow Shoes,,
general,General Shadows,G01,Any slot,24182,S_Bearers_Shield,Bearer's Shadow Shield,,
general,General Shadows,G01,Any slot,24183,S_Bearers_Weapon,Bearer's Shadow Weapon,,
general,General Shadows,G01,Any slot,24184,S_Bearers_Earring,Bearer's Shadow Earring,,
general,General Shadows,G01,Any slot,24185,S_Bearers_Pendent,Bearer's Shadow Pendant,,
general,General Shadows,G01,Any slot,24186,S_Basis_Armor,Basis Shadow Armor,,
general,General Shadows,G01,Any slot,24187,S_Hallowed_Armor,Hallowed Shadow Armor,,
general,General Shadows,G01,Any slot,24188,S_Saharic_Armor,Underneith Shadow Armor,,
general,General Shadows,G01,Any slot,24189,S_Underneath_Armor,Underneath Shadow Armor,,
general,General Shadows,G01,Any slot,24190,S_Flam_Armor,Flame Shadow Armor,,
general,General Shadows,G01,Any slot,24191,S_Windy_Armor,Windy Shadow Armor,,
general,General Shadows,G01,Any slot,24192,S_Envenom_Armor,Envenom Shadow Armor,,
general,General Shadows,G01,Any slot,24193,S_Damned_Armor,Damned Shadow Armor,,
general,General Shadows,G01,Any slot,24194,S_Geist_Armor,Exorcism Shadow Armor,,
general,General Shadows,G01,Any slot,24195,S_Divine_Armor,Divine Shadow Armor,,
general,General Shadows,G01,Any slot,24196,S_Hasty_Shoes,Hasty Shadow Shoes,,
general,General Shadows,G01,Any slot,24197,S_Hasty_Armor,Hasty Shadow Armor,,
general,General Shadows,G01,Any slot,24198,S_Basis_Shield,Basis Shadow Shield,,
general,General Shadows,G01,Any slot,24199,S_Hallowed_Shield,Hallowed Shadow Shield,,
general,General Shadows,G01,Any slot,24200,S_Saharic_Shield,Saharic Shadow Shield,,
general,General Shadows,G01,Any slot,24201,S_Underneath_Shield,Underneath Shadow Shield,,
general,General Shadows,G01,Any slot,24202,S_Flam_Shield,Flame Shadow Shield,,
general,General Shadows,G01,Any slot,24203,S_Windy_Shield,Windy Shadow Shield,,
general,General Shadows,G01,Any slot,24204,S_Envenom_Shield,Envenom Shadow Shield,,
general,General Shadows,G01,Any slot,24205,S_Damned_Shield,Damned Shadow Shield,,
general,General Shadows,G01,Any slot,24206,S_Geist_Shield,Exorcism Shadow Shield,,
general,General Shadows,G01,Any slot,24207,S_Divine_Shield,Divine Shadow Shield,,
general,General Shadows,G01,Any slot,24208,S_Expert_Shoes,Expert Shadow Shoes,,
general,General Shadows,G01,Any slot,24209,S_Expert_Shield,Expert Shadow Shield,,
general,General Shadows,G01,Any slot,24210,S_Beginner_Shoes,Beginner Shadow Shoes,,
general,General Shadows,G01,Any slot,24211,S_Beginner_Shield,Beginner Shadow Shield,,
general,General Shadows,G01,Any slot,24212,S_Rookie_Shoes,Rookie Shadow Shoes,,
general,General Shadows,G01,Any slot,24213,S_Rookie_Shield,Rookie Shadow Shield,,
general,General Shadows,G01,Any slot,24214,S_Advanced_Shoes,Advanced Shadow Shoes,,
general,General Shadows,G01,Any slot,24215,S_Advanced_Shield,Advanced Shadow Shield,,
general,General Shadows,G01,Any slot,24216,S_Attack_Armor,Attack Shadow Armor,,
general,General Shadows,G01,Any slot,24217,S_Blitz_Earring,Blitz Shadow Earring,,
general,General Shadows,G01,Any slot,24218,S_Blitz_Pendent,Blitz Shadow Pendant,,
general,General Shadows,G01,Any slot,24219,S_ColdBolt_Armor,Cold Bolt Shadow Armor,,
general,General Shadows,G01,Any slot,24220,S_FireBolt_Armor,Fire Bolt Shadow Armor,,
general,General Shadows,G01,Any slot,24221,S_LightingBolt_Armor,Lightning Bolt Shadow Armor,,
general,General Shadows,G01,Any slot,24222,S_EarthSpike_Armor,Earth Spike Shadow Armor,,
general,General Shadows,G01,Any slot,24223,S_Enhance_Force_Weapon,Enhanced Force Shadow Weapon,"Alchemist, Assassin, BardDancer, Blacksmith, Crusader, Hunter, Knight, Monk, Priest, Rogue, Sage, Wizard","All_Third, Fourth"
general,General Shadows,G01,Any slot,24224,S_Force_Weapon,Force Shadow Weapon,,
general,General Shadows,G01,Any slot,24225,S_Force_Earring,Force Shadow Earring,,
general,General Shadows,G01,Any slot,24226,S_Force_Pendant,Force Shadow Pendant,,
general,General Shadows,G01,Any slot,24227,S_Enhance_Spirit_Weapon,Enhanced Soul Shadow Weapon,"Alchemist, Assassin, BardDancer, Blacksmith, Crusader, Hunter, Knight, Monk, Priest, Rogue, Sage, Wizard","All_Third, Fourth"
general,General Shadows,G01,Any slot,24228,S_Spirit_Weapon,Soul Shadow Weapon,,
general,General Shadows,G01,Any slot,24229,S_Spirit_Earring,Soul Shadow Earring,,
general,General Shadows,G01,Any slot,24230,S_Spirit_Pendant,Soul Shadow Pendant,,
general,General Shadows,G01,Any slot,24231,S_Blitz_Shoes,Blitz Shadow Shoes,,
general,General Shadows,G01,Any slot,24232,S_Blitz_Shield,Blitz Shadow Shield,,
general,General Shadows,G01,Any slot,24233,S_Exceed_Weapon,Exceeding Shadow Weapon,,
general,General Shadows,G01,Any slot,24234,S_Titan_Earring,Titan Shadow Earring,,
general,General Shadows,G01,Any slot,24235,S_Titan_Pendant,Titan Shadow Pendant,,
general,General Shadows,G01,Any slot,24236,S_Boned_Earring,Boned Shadow Earring,,
general,General Shadows,G01,Any slot,24237,S_Boned_Pendant,Boned Shadow Pendant,,
general,General Shadows,G01,Any slot,24238,S_Gigantic_Earring,Gigantic Shadow Earring,,
general,General Shadows,G01,Any slot,24239,S_Gigantic_Pendant,Gigantic Shadow Pendant,,
general,General Shadows,G01,Any slot,24240,S_Caster_Shoes,Caster Shadow Shoes,,
general,General Shadows,G01,Any slot,24241,S_Caster_Shield,Caster Shadow Shield,,
general,General Shadows,G01,Any slot,24242,S_Caster_Armor,Caster Shadow Armor,,
general,General Shadows,G01,Any slot,24243,S_Reload_Shoes,Reload Shadow Shoes,,
general,General Shadows,G01,Any slot,24244,S_Reload_Shield,Reload Shadow Shield,,
general,General Shadows,G01,Any slot,24245,S_Reload_Armor,Reload Shadow Armor,,
general,General Shadows,G01,Any slot,24246,S_Swordman_earring,Swordman Shadow Earring,,
general,General Shadows,G01,Any slot,24247,S_Merchant_earring,Merchant Shadow Earring,,
general,General Shadows,G01,Any slot,24248,S_Acolyte_earring,Acolyte Shadow Earring,,
general,General Shadows,G01,Any slot,24249,S_Magician_earring,Magician Shadow Earring,,
general,General Shadows,G01,Any slot,24250,S_Swordman_Pendant,Swordman Shadow Pendant,,
general,General Shadows,G01,Any slot,24251,S_Merchant_Pendant,Merchant Shadow Pendant,,
general,General Shadows,G01,Any slot,24252,S_Acolyte_Pendant,Acolyte Shadow Pendant,,
general,General Shadows,G01,Any slot,24253,S_Thief_Pendant,Thief Shadow Pendant,,
general,General Shadows,G01,Any slot,24254,S_Magician_Pendant,Magician Shadow Pendant,,
general,General Shadows,G01,Any slot,24255,S_Archer_Pendant,Archer Shadow Pendant,,
general,General Shadows,G01,Any slot,24256,S_Knight_Shoes,Knight Shadow Shoes,,
general,General Shadows,G01,Any slot,24257,S_Crusader_Shoes,Crusader Shadow Shoes,,
general,General Shadows,G01,Any slot,24258,S_Blacksmith_Shoes,Blacksmith Shadow Shoes,,
general,General Shadows,G01,Any slot,24259,S_Alchemist_Shoes,Alchemist Shadow Shoes,,
general,General Shadows,G01,Any slot,24260,S_Priest_Shoes,Priest Shadow Shoes,,
general,General Shadows,G01,Any slot,24261,S_Monk_Shoes,Monk Shadow Shoes,,
general,General Shadows,G01,Any slot,24262,S_Assassin_Shoes,Assassin Shadow Shoes,,
general,General Shadows,G01,Any slot,24263,S_Rogue_Shoes,Rogue Shadow Shoes,,
general,General Shadows,G01,Any slot,24264,S_Wizard_Shoes,Wizard Shadow Shoes,,
general,General Shadows,G01,Any slot,24265,S_Sage_Shoes,Sage Shadow Shoes,,
general,General Shadows,G01,Any slot,24266,S_Hunter_Shoes,Hunter Shadow Shoes,,
general,General Shadows,G01,Any slot,24267,S_Bard_Shoes,Bard Shadow Shoes,,
general,General Shadows,G01,Any slot,24268,S_Dancer_Shoes,Dancer Shadow Shoes,,
general,General Shadows,G01,Any slot,24269,S_Knight_Armor,Knight Shadow Armor,,
general,General Shadows,G01,Any slot,24270,S_Crusader_Armor,Crusader Shadow Armor,,
general,General Shadows,G01,Any slot,24271,S_Blacksmith_Armor,Blacksmith Shadow Armor,,
general,General Shadows,G01,Any slot,24272,S_Alchemist_Armor,Alchemist Shadow Armor,,
general,General Shadows,G01,Any slot,24273,S_Priest_Armor,Priest Shadow Armor,,
general,General Shadows,G01,Any slot,24274,S_Monk_Armor,Monk Shadow Armor,,
general,General Shadows,G01,Any slot,24275,S_Assassin_Armor,Assassin Shadow Armor,,
general,General Shadows,G01,Any slot,24276,S_Rogue_Armor,Rogue Shadow Armor,,
general,General Shadows,G01,Any slot,24277,S_Wizard_Armor,Wizard Shadow Armor,,
general,General Shadows,G01,Any slot,24278,S_Sage_Armor,Sage Shadow Armor,,
general,General Shadows,G01,Any slot,24279,S_Hunter_Armor,Hunter Shadow Armor,,
general,General Shadows,G01,Any slot,24280,S_Bard_Armor,Bard Shadow Armor,,
general,General Shadows,G01,Any slot,24281,S_Dancer_Armor,Dancer Shadow Armor,,
general,General Shadows,G01,Any slot,24320,S2_Hasty_Shoes,Hasty Shadow Shoes II,,
general,General Shadows,G01,Any slot,24321,S2_Bearers_Pendent,Bearer's Shadow Pendant II,,
general,General Shadows,G01,Any slot,24322,S2_Gemstone_Earring,Gemstone Shadow Earring II,,
general,General Shadows,G01,Any slot,24323,S2_Spell_Flow_Shield,Spellflow Shadow Shield II,,
general,General Shadows,G01,Any slot,24324,S2_Spiritual_Weapon,Spiritual Shadow Weapon II,,
general,General Shadows,G01,Any slot,24325,S2_Malicious_Armor,Malicious Shadow Armor II,,
general,General Shadows,G01,Any slot,24326,S_Sigrun_Armor,Sigrun Shadow Armor,,
general,General Shadows,G01,Any slot,24327,S_Sigrun_Shield,Sigrun Shadow Shield,,
general,General Shadows,G01,Any slot,24328,S2_Force_Ex_Weapon,Force Executioner Shadow Weapon,,
general,General Shadows,G01,Any slot,24329,S2_Spirit_M_E_Weapon,Spirit Magic Executioner Shadow Weapon,,
general,General Shadows,G01,Any slot,24330,S2_Caster_Armor,Caster Shadow Armor II,,
general,General Shadows,G01,Any slot,24331,S2_Reload_Armor,Reload Shadow Armor II,,
general,General Shadows,G01,Any slot,24332,S_Critical_Shield,Critical Shadow Shield,,
general,General Shadows,G01,Any slot,24333,S_Critical_Shoes,Critical Shadow Shoes,,
general,General Shadows,G01,Any slot,24334,S_MagicCompose_Armor,Magic Compose Shadow Armor,,
general,General Shadows,G01,Any slot,24335,S2_Gemstone_Weapon,Gemstone Shadow Weapon II,,
general,General Shadows,G01,Any slot,24336,S2_Gemstone_Shield,Gemstone Shadow Shield II,,
general,General Shadows,G01,Any slot,24337,S2_Bearers_Armor,Bearer's Shadow Armor II,,
general,General Shadows,G01,Any slot,24338,S2_Bearers_Shoes,Bearer's Shadow Shoes II,,
