Item ID,AegisName,Server English Name,Category,EquipLevelMin,Slots,Client Display Name,Client Resource Name,NPC Route,Price
2007,Golden_Rod_Staff,Golden Rod Staff,Weapons,100,2,골든로드 스태프,골든로드스태프,Equipment Archive > Weapons > Lv 100-129,200000
2008,Aqua_Staff,Aqua Staff,Weapons,100,2,아쿠아 스태프,아쿠아스태프,Equipment Archive > Weapons > Lv 100-129,200000
2009,Crimson_Staff,Crimson Staff,Weapons,100,2,크림즌 스태프,크림즌스태프,Equipment Archive > Weapons > Lv 100-129,200000
2010,Forest_Staff,Forest Staff,Weapons,100,2,포레스트 스태프,포레스트스태프,Equipment Archive > Weapons > Lv 100-129,200000
2021,Ganbantein,Ganbantein,Weapons,100,0,간반테인,간반테인,Equipment Archive > Weapons > Lv 100-129,200000
2022,Staff_Of_Geffen,Staff of Geffen,Weapons,150,1,스태프 오브 게펜,위자드리스태프,Equipment Archive > Weapons > Lv 130-159,500000
2023,Thanos_Rod,Thanos Two-Handed Staff,Weapons,120,1,타노스의 양손 지팡이,타노스의양손지팡이,Equipment Archive > Weapons > Lv 100-129,200000
2024,D_Staff_Of_Infinite,Infinity Two-Handed Staff,Weapons,100,1,무한의 양손 지팡이,서늘한지팡이,Equipment Archive > Weapons > Lv 100-129,200000
2048,Iron_Staff,Aeon Staff,Weapons,100,2,아이언 스태프,아이온스태프,Equipment Archive > Weapons > Lv 100-129,200000
2055,Staff_Of_Miracle,Staff of Miracle,Weapons,170,2,스태프 오브 미라클,Staff_Of_Miracle,Equipment Archive > Weapons > Lv 160-199,1000000
2056,Gravitation_Staff,Gravitation Staff,Weapons,170,2,그라비테이션 스태프,Gravitation_Staff,Equipment Archive > Weapons > Lv 160-199,1000000
2057,Adorare_Staff,Adorare Staff,Weapons,170,2,아도라레 스태프,Adorare_Staff,Equipment Archive > Weapons > Lv 160-199,1000000
2058,Ein_BHSTAFF,Detecting Staff,Weapons,170,2,디텍팅 스태프,Ein_BHSTAFF,Equipment Archive > Weapons > Lv 160-199,1000000
2060,R_Magician_Staff,Royal Magician Staff,Weapons,170,2,로얄 매지션 스태프,R_Magician_Staff,Equipment Archive > Weapons > Lv 160-199,1000000
2156,Bible_Of_Promise1,Bible of Promise(1st Vol.),Shields,110,1,약속의 성서 1권,약속의성서,Equipment Archive > Shields > Lv 100-129,200000
2171,Fox_Armguard,Fox Wrist Guard,Shields,100,1,여우 문양 팔목 보호대,여우문양팔목보호대,Equipment Archive > Shields > Lv 100-129,200000
2172,Wolf_Armguard,Wolf Wrist Guard,Shields,100,1,늑대 문양 팔목 보호대,늑대문양팔목보호대,Equipment Archive > Shields > Lv 100-129,200000
2173,Crescent_Armguard,Crescent Wrist Guard,Shields,100,1,초승달 문양 팔목 보호대,초승달문양팔목보호대,Equipment Archive > Shields > Lv 100-129,200000
2182,Hervor_Alvitr,Hervor Alvitr,Shields,100,0,헤르보르 아르비트,헤르보르아르비트,Equipment Archive > Shields > Lv 100-129,200000
2187,Shield_Of_Gray,Shield of Gray,Shields,120,1,흙빛의 방패,흙빛의방패,Equipment Archive > Shields > Lv 100-129,200000
2467,Golden_Rod_Shoes,Golden Rod Shoes,Shoes,100,0,골든로드 슈즈,골든로드슈즈,Equipment Archive > Shoes > Lv 100-129,200000
2468,Aqua_Shoes,Aqua Shoes,Shoes,100,0,아쿠아 슈즈,아쿠아슈즈,Equipment Archive > Shoes > Lv 100-129,200000
2469,Crimson_Shoes,Crismons Shoes,Shoes,100,0,크림즌 슈즈,크림즌슈즈,Equipment Archive > Shoes > Lv 100-129,200000
2470,Forest_Shoes,Forest Shoes,Shoes,100,0,포레스트 슈즈,포레스트슈즈,Equipment Archive > Shoes > Lv 100-129,200000
2471,Shoes_Of_Affection,Shoes Of Affection,Shoes,100,0,자애의 슈즈,자애의슈즈,Equipment Archive > Shoes > Lv 100-129,200000
2472,Shoes_Of_Judgement,Shoes Of Judgement,Shoes,100,0,심판의 슈즈,심판의슈즈,Equipment Archive > Shoes > Lv 100-129,200000
2475,Ur_Greave,Ur's Greaves,Shoes,100,1,우르의 그리브,우르의그리브,Equipment Archive > Shoes > Lv 100-129,200000
2476,Peuz_Greave,Peuz's Greaves,Shoes,100,1,페오즈의 그리브,페오즈의그리브,Equipment Archive > Shoes > Lv 100-129,200000
2477,Sabah_Shoes,Sapha Shoes,Shoes,100,1,사바흐의 슈즈,사바흐의슈즈,Equipment Archive > Shoes > Lv 100-129,200000
2478,Nab_Shoes,Nab Shoes,Shoes,100,1,나브의 슈즈,나브의슈즈,Equipment Archive > Shoes > Lv 100-129,200000
2479,White_Wing_Boots,White Wing Boots,Shoes,100,1,흰날개의 부츠,흰날개의부츠,Equipment Archive > Shoes > Lv 100-129,200000
2480,Black_Wing_Boots,Black Wing Boots,Shoes,100,1,검은날개의 부츠,검은날개의부츠,Equipment Archive > Shoes > Lv 100-129,200000
2568,Muffler_Of_Roki,Loki's Muffler,Garments,100,0,로키의 머플러,로키의머플러,Equipment Archive > Garments > Lv 100-129,200000
2569,Shawl_Of_Affection,Shawl Of Affection,Garments,100,0,자애의 숄,자애의숄,Equipment Archive > Garments > Lv 100-129,200000
2570,Shawl_Of_Judgement,Shawl Of Judgement,Garments,100,0,심판의 숄,심판의숄,Equipment Archive > Garments > Lv 100-129,200000
2574,Ur_Manteau,Ur's Manteau,Garments,100,0,우르의 망토,우르의망토,Equipment Archive > Garments > Lv 100-129,200000
2575,Peuz_Manteau,Peuz's Manteau,Garments,100,0,페오즈의 망토,페오즈의망토,Equipment Archive > Garments > Lv 100-129,200000
2577,Sabah_Hood,Sapha Hood,Garments,100,0,사바흐의 후드,사바흐의후드,Equipment Archive > Garments > Lv 100-129,200000
2578,Nab_Hood,Nab Hood,Garments,100,0,나브의 후드,나브의후드,Equipment Archive > Garments > Lv 100-129,200000
2580,White_Wing_Manteau,White Wing Manteau,Garments,100,0,흰날개의 망토,흰날개의망토,Equipment Archive > Garments > Lv 100-129,200000
2581,Black_Wing_Manteau,Black Wing Manteau,Garments,100,0,검은날개의 망토,검은날개의망토,Equipment Archive > Garments > Lv 100-129,200000
2582,Salvage_Cape,Salvage Cape,Garments,130,0,샐비지 케이프,샐비지케이프,Equipment Archive > Garments > Lv 130-159,500000
2915,Ettlang_Keepsake,Ettlang Keepsake,Accessories,100,0,에뜰랑의 유품,에뜰랑의유품,Equipment Archive > Accessories > Lv 100-129,200000
2923,Str_Glove_,Str Glove,Accessories,100,1,힘의 글러브,힘의글러브,Equipment Archive > Accessories > Lv 100-129,200000
2924,Int_Glove_,Int Glove,Accessories,100,1,지력의 글러브,지력의글러브,Equipment Archive > Accessories > Lv 100-129,200000
2925,Agi_Glove_,Agi Glove,Accessories,100,1,민첩의 글러브,민첩의글러브,Equipment Archive > Accessories > Lv 100-129,200000
2926,Vit_Glove_,Vit Glove,Accessories,100,1,체력의 글러브,체력의글러브,Equipment Archive > Accessories > Lv 100-129,200000
2927,Dex_Glove_,Dex Glove,Accessories,100,1,손재주의 글러브,손재주의글러브,Equipment Archive > Accessories > Lv 100-129,200000
2928,Luk_Glove_,Luk Glove,Accessories,100,1,행운의 글러브,행운의글러브,Equipment Archive > Accessories > Lv 100-129,200000
2981,RingOfHero,Warrior's Ring,Accessories,160,0,용사의 반지,루파크의반지,Equipment Archive > Accessories > Lv 160-199,1000000
2992,Pendant_Of_Maelstorm,Pendant of Maelstrom,Accessories,130,1,펜던트 오브 마엘슈트롬,펜던트오브마엘슈트롬,Equipment Archive > Accessories > Lv 130-159,500000
2995,Supplement_Part_Dex,Supplement Part Dex,Accessories,100,1,손재주 보완장치,손재주보완장치,Equipment Archive > Accessories > Lv 100-129,200000
2996,Upgrade_Part_Gun_Barrel,Upgrade Part - Gun Barrel,Accessories,100,1,강화파츠 - 포신,강화파츠포신,Equipment Archive > Accessories > Lv 100-129,200000
5364,Dark_Snake_Lord_Hat,Evil Snake Lord Hat,Headgear,150,1,흑사왕의 모자,흑사왕의모자,Equipment Archive > Headgear > Lv 130-159,500000
5746,Rune_Circlet,Rune Circlet,Headgear,100,1,룬 서클릿,룬서클릿,Equipment Archive > Headgear > Lv 100-129,200000
5747,Mitra,Mitra,Headgear,100,1,미트라,미트라,Equipment Archive > Headgear > Lv 100-129,200000
5748,Sniper_Goggle,Sniper Goggles,Headgear,100,1,스나이퍼 고글,스나이퍼고글,Equipment Archive > Headgear > Lv 100-129,200000
5749,Driver_Band,Driver Band,Headgear,100,1,드라이버 밴드,드라이버밴드,Equipment Archive > Headgear > Lv 100-129,200000
5750,Shadow_Handicraft,Shadow Crown,Headgear,100,1,그림자 공작,그림자공작,Equipment Archive > Headgear > Lv 100-129,200000
5751,Minstrel_Song_Hat,Minstrel Song Hat,Headgear,100,1,민스트럴 송의 모자,민스트럴송의모자,Equipment Archive > Headgear > Lv 100-129,200000
5752,Midas_Whisper,Midas Whispers,Headgear,100,1,마이더스의 속삭임,마이더스의속삭임,Equipment Archive > Headgear > Lv 100-129,200000
5753,Magic_Stone_Hat,Magic Stone Hat,Headgear,100,1,마력의 돌 모자,마력의돌모자,Equipment Archive > Headgear > Lv 100-129,200000
5754,Blazing_Soul,Burning Spirit,Headgear,100,1,불타는 혼,불타는혼,Equipment Archive > Headgear > Lv 100-129,200000
5755,Silent_Executer,Silent Enforcer,Headgear,100,0,침묵의 집행자,침묵의집행자,Equipment Archive > Headgear > Lv 100-129,200000
5756,Wind_Whisper,Wispers of Wind,Headgear,100,1,바람의 속삭임,바람의속삭임,Equipment Archive > Headgear > Lv 100-129,200000
5757,Schmidt_Helm,Reissue Schmitz Helm,Headgear,100,1,복각 슈미츠의 투구,복각슈미츠의투구,Equipment Archive > Headgear > Lv 100-129,200000
5758,Dying_Swan,Resting Swan,Headgear,100,1,빈사의 백조,빈사의백조,Equipment Archive > Headgear > Lv 100-129,200000
5760,Driver_Band_,Driver Band,Headgear,100,1,드라이버 밴드,드라이버밴드_,Equipment Archive > Headgear > Lv 100-129,200000
5909,C_Valkyrie_Circlet,Costume Valkyrie Circlet,Costumes,1,0,의상 발키리의 서클릿,발키리의서클릿,Costume Capsule,100000
5912,C_Minions_Of_Devil,Costume Servant Deviling,Costumes,0,0,의상 악마의 하수인,꼬마데빌링,Costume Capsule,100000
5914,C_Flutter_Butterfly,Costume Flutter Butterfly,Costumes,1,0,의상 나비의 날갯짓,C나비의날갯짓,Costume Capsule,100000
5915,C_Angel_Veil,Costume Angel Veil,Costumes,0,0,의상 천사의 베일,C천사의베일,Costume Capsule,100000
5979,C_Angel_Fluttering,Costume Fluttering Angel's Wing,Costumes,1,0,의상 흩날리는 천사의 날개,C흩날리는천사의날개,Costume Capsule,100000
5980,C_Classical_Fhat,Costume Classical Feather Hat,Costumes,1,0,의상 멋진 페더 햇,C클래시컬페더햇,Costume Capsule,100000
9001,Poring_Egg,Poring Egg,Pet Eggs,0,0,포링의 알,수속성알,Pet Archive > Pet Eggs,200000
9002,Drops_Egg,Drops Egg,Pet Eggs,0,0,드롭프스의 알,화속성알,Pet Archive > Pet Eggs,200000
9003,Poporing_Egg,Poporing Egg,Pet Eggs,0,0,포포링의 알,독속성알,Pet Archive > Pet Eggs,200000
9004,Lunatic_Egg,Lunatic Egg,Pet Eggs,0,0,루나틱의 알,무속성알,Pet Archive > Pet Eggs,200000
9005,Picky_Egg,Picky Egg,Pet Eggs,0,0,픽키의 알,화속성알,Pet Archive > Pet Eggs,200000
9006,Chonchon_Egg,Chonchon Egg,Pet Eggs,0,0,촌촌의 알,풍속성알,Pet Archive > Pet Eggs,200000
9007,Steel_Chonchon_Egg,Steel Chonchon Egg,Pet Eggs,0,0,스틸 촌촌의 알,풍속성알,Pet Archive > Pet Eggs,200000
9008,Hunter_Fly_Egg,Hunter Fly Egg,Pet Eggs,0,0,헌터 플라이의 알,풍속성알,Pet Archive > Pet Eggs,200000
9009,Savage_Bebe_Egg,Savage Babe Egg,Pet Eggs,0,0,세비지 베베의 알,지속성알,Pet Archive > Pet Eggs,200000
9010,Baby_Desert_Wolf_Egg,Baby Desert Wolf Egg,Pet Eggs,0,0,새끼 데저트 울프의 알,지속성알,Pet Archive > Pet Eggs,200000
9011,Rocker_Egg,Rocker Egg,Pet Eggs,0,0,로커의 알,지속성알,Pet Archive > Pet Eggs,200000
9012,Spore_Egg,Spore Egg,Pet Eggs,0,0,스포아의 알,수속성알,Pet Archive > Pet Eggs,200000
9013,Poison_Spore_Egg,Poison Spore Egg,Pet Eggs,0,0,포이즌 스포아의 알,독속성알,Pet Archive > Pet Eggs,200000
9014,PecoPeco_Egg,Peco Peco Egg,Pet Eggs,0,0,페코페코의 알,화속성알,Pet Archive > Pet Eggs,200000
9015,Smokie_Egg,Smokie Egg,Pet Eggs,0,0,스모키의 알,지속성알,Pet Archive > Pet Eggs,200000
9016,Yoyo_Egg,Yoyo Egg,Pet Eggs,0,0,요요의 알,지속성알,Pet Archive > Pet Eggs,200000
9017,Orc_Warrior_Egg,Orc Warrior Egg,Pet Eggs,0,0,오크 워리어의 알,지속성알,Pet Archive > Pet Eggs,200000
9018,Munak_Egg,Munak Egg,Pet Eggs,0,0,무낙의 알,언데드알,Pet Archive > Pet Eggs,200000
9019,Dokkaebi_Egg,Dokebi Egg,Pet Eggs,0,0,도깨비의 알,암속성알,Pet Archive > Pet Eggs,200000
9020,Sohee_Egg,Sohee Egg,Pet Eggs,0,0,소희의 알,수속성알,Pet Archive > Pet Eggs,200000
9021,Isis_Egg,Isis Egg,Pet Eggs,0,0,이시스의 알,암속성알,Pet Archive > Pet Eggs,200000
9022,Green_Petite_Egg,Green Petite Egg,Pet Eggs,0,0,초록색 쁘띠의 알,지속성알,Pet Archive > Pet Eggs,200000
9023,Deviruchi_Egg,Deviruchi Egg,Pet Eggs,0,0,데비루치의 알,암속성알,Pet Archive > Pet Eggs,200000
9024,Bapho_Jr._Egg,Bapho Jr. Egg,Pet Eggs,0,0,바포메트 주니어의 알,암속성알,Pet Archive > Pet Eggs,200000
9025,Bongun_Egg,Bongun Egg,Pet Eggs,0,0,본건알,암속성알,Pet Archive > Pet Eggs,200000
9026,Zherlthsh_Egg,Zealotus Egg,Pet Eggs,0,0,지르타스의 알,무속성알,Pet Archive > Pet Eggs,200000
9027,Alice_Egg,Alice Egg,Pet Eggs,0,0,엘리스의 알,무속성알,Pet Archive > Pet Eggs,200000
9028,Rice_Cake_Egg,Hard Rice Cake,Pet Eggs,0,0,딱딱한 떡,무속성알,Pet Archive > Pet Eggs,200000
9029,Santa_Goblin_Egg,Christmas Goblin's Egg,Pet Eggs,0,0,크리스마스 고블린의 알,풍속성알,Pet Archive > Pet Eggs,200000
9030,Chung_E_Egg,Green Maiden Egg,Pet Eggs,0,0,청이의 알,무속성알,Pet Archive > Pet Eggs,200000
9031,Spring_Rabbit_Egg,Spring Rabbit Egg,Pet Eggs,0,0,옥토끼의 알,무속성알,Pet Archive > Pet Eggs,200000
9032,Knife_Goblin_Egg,Knife Goblin Egg,Pet Eggs,0,0,단검고블린의 알,풍속성알,Pet Archive > Pet Eggs,200000
9033,Flail_Goblin_Egg,Flail Goblin Egg,Pet Eggs,0,0,플레일고블린의 알,화속성알,Pet Archive > Pet Eggs,200000
9034,Hammer_Goblin_Egg,Hammer Goblin Egg,Pet Eggs,0,0,해머고블린의 알,지속성알,Pet Archive > Pet Eggs,200000
9035,Red_Deleter_Egg,Red Deleter Egg,Pet Eggs,0,0,딜리터의 알,화속성알,Pet Archive > Pet Eggs,200000
9036,Diabolic_Egg,Diabolic Egg,Pet Eggs,0,0,디아볼릭의 알,암속성알,Pet Archive > Pet Eggs,200000
9037,Wanderer_Egg,Wanderer Egg,Pet Eggs,0,0,배회하는 자의 알,풍속성알,Pet Archive > Pet Eggs,200000
9038,New_Year_Doll_Egg,New Year Doll Egg,Pet Eggs,0,0,새해인형의 알,풍속성알,Pet Archive > Pet Eggs,200000
9040,Civil_Servant_Egg,Civil Servant Egg,Pet Eggs,0,0,묘괴 알,풍속성알,Pet Archive > Pet Eggs,200000
9041,Leaf_Cat_Egg,Leaf Cat Egg,Pet Eggs,0,0,리프캣 알,지속성알,Pet Archive > Pet Eggs,200000
9042,Loli_Ruri_Egg,Loli Ruri Egg,Pet Eggs,0,0,로리루리 알,암속성알,Pet Archive > Pet Eggs,200000
9043,Marionette_Egg,Marionette Egg,Pet Eggs,0,0,마리오네트 알,염속성알,Pet Archive > Pet Eggs,200000
9044,Shinobi_Egg,Shinobi Egg,Pet Eggs,0,0,시노비 알,암속성알,Pet Archive > Pet Eggs,200000
9045,Whisper_Egg,Whisper Egg,Pet Eggs,0,0,위스퍼 알,염속성알,Pet Archive > Pet Eggs,200000
9046,Goblin_Leader_Egg,Goblin Leader Egg,Pet Eggs,0,0,고블린 리더 알,풍속성알,Pet Archive > Pet Eggs,200000
9047,Wicked_Nymph_Egg,Wicked Nymph Egg,Pet Eggs,0,0,요선녀 알,암속성알,Pet Archive > Pet Eggs,200000
9048,Miyabi_Ningyo_Egg,Miyabi Ningyo Egg,Pet Eggs,0,0,미야비 인형 알,암속성알,Pet Archive > Pet Eggs,200000
9049,Dullahan_Egg,Dullahan Egg,Pet Eggs,0,0,듀라한 알,언데드알,Pet Archive > Pet Eggs,200000
9050,Medusa_Egg,Medusa Egg,Pet Eggs,0,0,메두사 알,무속성알,Pet Archive > Pet Eggs,200000
9051,Stone_Shooter_Egg,Stone Shooter Egg,Pet Eggs,0,0,스톤슈터 알,화속성알,Pet Archive > Pet Eggs,200000
9052,Incubus_Egg,Incubus Egg,Pet Eggs,0,0,인큐버스 알,암속성알,Pet Archive > Pet Eggs,200000
9053,Golem_Egg,Golem Egg,Pet Eggs,0,0,고렘 알,무속성알,Pet Archive > Pet Eggs,200000
9054,Nightmare_Terror_Egg,Nightmare Terror Egg,Pet Eggs,0,0,나이트메어 테러 알,암속성알,Pet Archive > Pet Eggs,200000
9055,Succubus_Egg,Succubus Egg,Pet Eggs,0,0,서큐버스 알,암속성알,Pet Archive > Pet Eggs,200000
9056,Imp_Egg,Imp Egg,Pet Eggs,0,0,임프 알,화속성알,Pet Archive > Pet Eggs,200000
9058,Snow_Rabbit_Egg,Christmas Snow Rabbit Egg,Pet Eggs,0,0,눈토끼 알,무속성알,Pet Archive > Pet Eggs,200000
9059,Tikbalang_Pet,Tikbalang Egg,Pet Eggs,0,0,틱버렁 알,암속성알,Pet Archive > Pet Eggs,200000
9062,Novice_Poring_Egg,Novice Poring Egg,Pet Eggs,0,0,풋내기포링의 알,수속성알,Pet Archive > Pet Eggs,200000
9068,Blue_Unicorn_Egg,Blue Unicorn Egg,Pet Eggs,0,0,블루 유니콘의 알,수속성알,Pet Archive > Pet Eggs,200000
9069,Mastering_Egg,Mastering Egg,Pet Eggs,0,0,마스터링의 알,수속성알,Pet Archive > Pet Eggs,200000
9070,Savage_Egg,Savage Egg,Pet Eggs,0,0,세비지의 알,지속성알,Pet Archive > Pet Eggs,200000
9071,Grand_Peco_Egg,Grand Peco Peco Egg,Pet Eggs,0,0,그랜드 페코의 알,화속성알,Pet Archive > Pet Eggs,200000
9087,High_Orc_Egg,High Orc Egg,Pet Eggs,0,0,하이오크의 알,지속성알,Pet Archive > Pet Eggs,200000
9088,Angeling_Egg,Angeling Egg,Pet Eggs,0,0,엔젤링의 알,성속성알,Pet Archive > Pet Eggs,200000
9089,Ammut_Egg,Am Mut Egg,Pet Eggs,0,0,암 무트의 알,암속성알,Pet Archive > Pet Eggs,200000
9090,Littleisis_Egg,Little Isis Egg,Pet Eggs,0,0,리틀 이시스의 알,암속성알,Pet Archive > Pet Eggs,200000
9091,Choco_Egg,Choco Egg,Pet Eggs,0,0,쵸코의 알,화속성알,Pet Archive > Pet Eggs,200000
9092,Eggring_Egg,Eggring Egg,Pet Eggs,0,0,에그링의 알,지속성알,Pet Archive > Pet Eggs,200000
9093,Hyegun_Egg,Hyegun Egg,Pet Eggs,0,0,혜군의 알,암속성알,Pet Archive > Pet Eggs,200000
9094,Leaf_Lunatic_Egg,Leaf Lunatic Egg,Pet Eggs,0,0,리프 루나틱의 알,무속성알,Pet Archive > Pet Eggs,200000
9095,Nine_Tail_Egg,Nine Tail Egg,Pet Eggs,0,0,구미호의 알,화속성알,Pet Archive > Pet Eggs,200000
9096,Cat_O_Nine_Tail_Egg,Cat o Nine Tail Egg,Pet Eggs,0,0,캣 오 나인테일의 알,화속성알,Pet Archive > Pet Eggs,200000
9097,Diabolic_Egg2,Diabolic Egg,Pet Eggs,0,0,디아볼릭의 알,화속성알,Pet Archive > Pet Eggs,200000
9098,Red_Deleter_Egg2,Fire Deleter Egg,Pet Eggs,0,0,지상 딜리터의 알,화속성알,Pet Archive > Pet Eggs,200000
9099,Teddy_Bear_Egg,Teddy Bear Egg,Pet Eggs,0,0,곰인형의 알,무속성알,Pet Archive > Pet Eggs,200000
9100,Gremlin_Egg,Gremlin Egg,Pet Eggs,0,0,그렘린의 알,암속성알,Pet Archive > Pet Eggs,200000
9101,Scatletoncarrier,Scatleton's Cage,Pet Eggs,0,0,스캣레톤 이동장,스캣레톤이동장,Pet Archive > Pet Eggs,200000
9102,Mummy_Egg,Mummy Egg,Pet Eggs,0,0,미이라의 알,언데드알,Pet Archive > Pet Eggs,200000
9103,Wilow_Egg,Willow Egg,Pet Eggs,0,0,윌로우의 알,지속성알,Pet Archive > Pet Eggs,200000
9104,Roween_Egg,Roween Egg,Pet Eggs,0,0,로우윈의 알,풍속성알,Pet Archive > Pet Eggs,200000
9105,Hodremlin_Egg,Hodremlin Egg,Pet Eggs,0,0,호드렘린의 알,암속성알,Pet Archive > Pet Eggs,200000
9106,Metaller_Egg,Metaller Egg,Pet Eggs,0,0,메틀러의 알,화속성알,Pet Archive > Pet Eggs,200000
9107,Ancient_Mummy_Egg,Ancient Mummy Egg,Pet Eggs,0,0,에인션트 미이라의 알,언데드알,Pet Archive > Pet Eggs,200000
9108,Xm_Teddybear_Egg,Xmas Teddy Bear Egg,Pet Eggs,0,0,버려진 곰인형의 알,언데드알,Pet Archive > Pet Eggs,200000
9109,Sweets_Drops_Egg,Sweet Drops Egg,Pet Eggs,0,0,스윗츠 드롭프스의 알,하트스크롤,Pet Archive > Pet Eggs,200000
9111,Phreeoni_Egg,Phreeoni Egg,Pet Eggs,0,0,프리오니의 알,Phreeoni_Egg,Pet Archive > Pet Eggs,200000
9112,Moonlight_Egg,Moonlight Egg,Pet Eggs,0,0,월야화의 알,Moonlight_Egg,Pet Archive > Pet Eggs,200000
9113,Roost_Of_Skelion,Roost Of Skelion,Pet Eggs,0,0,스켈리온의 휴식처,Roost_Of_Skelion,Pet Archive > Pet Eggs,200000
9115,Bacsojin_Egg2,Bacsojin Egg,Pet Eggs,0,0,백소진의 알,대만백소진스크롤,Pet Archive > Pet Eggs,200000
9116,Nightmare_TerrorH_EGG,Rigid Nightmare Terror Egg,Pet Eggs,0,0,굳은 나이트메어 테러의 알,암속성알,Pet Archive > Pet Eggs,200000
9117,Wanderer_H_EGG,Contaminated Wanderer Egg,Pet Eggs,0,0,오염된 배회하는 자의 알,풍속성알,Pet Archive > Pet Eggs,200000
9118,Aliot_EGG,Aliot Egg,Pet Eggs,0,0,엘리엇의 알,무속성알,Pet Archive > Pet Eggs,200000
9119,Alicel_EGG,Alicel Egg,Pet Eggs,0,0,엘리셀의 알,무속성알,Pet Archive > Pet Eggs,200000
9120,Aliza_EGG,Aliza Egg,Pet Eggs,0,0,엘리자의 알,무속성알,Pet Archive > Pet Eggs,200000
9121,Ork_Hero_EGG,Orc Hero Egg,Pet Eggs,0,0,오크 히어로의 알,Ork_Hero_EGG,Pet Archive > Pet Eggs,200000
9122,Gloom_Under_Egg,Gloom Under Night Egg,Pet Eggs,0,0,그룸 언더 나이트의 알,Gloom_Under_Egg,Pet Archive > Pet Eggs,200000
9123,Ep17_2_C_Admin1_Egg,Child Admin Beta Egg,Pet Eggs,0,0,꼬마 관리자β의 알,Ep_17_2_C_Admin1_Egg,Pet Archive > Pet Eggs,200000
9124,Ep17_2_C_Admin2_Egg,Child Admin Alpha Egg,Pet Eggs,0,0,꼬마 관리자α의 알,Ep_17_2_C_Admin2_Egg,Pet Archive > Pet Eggs,200000
9125,E_Duckling_Egg,Wandering Duck Doll Egg,Pet Eggs,0,0,방황하는 오리인형의 알,찰랑스크롤,Pet Archive > Pet Eggs,200000
9126,Kiel_Egg,Kiel-D-01 Egg,Pet Eggs,0,0,키엘-D-01의 알,Kiel_Egg,Pet Archive > Pet Eggs,200000
