Category,Monster ID,AegisName,Name,Level,HP,Validation Source,Validation Type
MVP,2165,I_QUEEN_SCARABA,Gold Queen Scaraba,140,6441600,npc/re/mobs/dungeons/dic_dun.txt:45,direct-spawn
MVP,2087,QUEEN_SCARABA,Scaraba Queen,140,2441600,npc/re/instances/CentralLaboratory.txt:750,implemented-variable
MVP,2249,PYURIEL,Angry Student Pyuriel,141,2205000,npc/re/mobs/dungeons/gld_re.txt:69,direct-spawn
MVP,1658,B_YGNIZEM,Egnigem Cenia,141,2910088,npc/instances/EndlessTower.txt:768,direct-spawn
MVP,1751,RANDGRIS,Valkyrie Randgris,141,3205000,npc/instances/EndlessTower.txt:959,direct-spawn
MVP,2253,DAEHYON,General Daehyun,142,2500148,npc/re/instances/CentralLaboratory.txt:752,implemented-variable
MVP,2255,KADES,Dark Guardian Kades,143,2505000,npc/re/instances/CentralLaboratory.txt:753,implemented-variable
MVP,2362,N_AMON_RA,Amon Ra (Nightmare),145,2515784,npc/re/mobs/dungeons/moc_pryd.txt:82,direct-spawn
MVP,3124,CHARLESTON3,Charleston 3,145,23671401,npc/re/instances/CharlestonCrisis.txt:1218,direct-spawn
MVP,20667,MD_SILVA_PAPILIA,Silva Papilia,145,7375012,npc/re/instances/WaterGarden.txt:903,direct-spawn
MVP,2251,GIOIA,Gioia,146,2507989,npc/re/mobs/dungeons/gld_re.txt:48,direct-spawn
MVP,1832,IFRIT,Ifrit,146,6935000,npc/instances/EndlessTower.txt:931,direct-spawn
MVP,1874,BEELZEBUB_,Beelzebub,147,4805000,npc/re/instances/CentralLaboratory.txt:755,implemented-variable
MVP,2476,MG_AMDARAIS,Amdarais,150,4290000,npc/re/instances/OldGlastHeim.txt:1872,direct-spawn
MVP,2475,MG_CORRUPTION_ROOT,Corrupted Soul,150,1820000,npc/re/instances/OldGlastHeim.txt:1209,direct-spawn
MVP,2319,BUWAYA,Buwaya,151,4090365,npc/re/instances/BuwayaCave.txt:391,direct-spawn
MVP,2942,MM_EVIL_FANATICS,Evil Fanatics,151,8256000,npc/re/instances/DevilTower.txt:1874,direct-spawn
MVP,1917,MOROCC_,Wounded Morocc,151,5000000,npc/re/mobs/fields/morocc.txt:220,direct-spawn
MVP,2483,NG_BAPHOMET,Nightmare Baphomet,154,4008000,npc/re/mobs/dungeons/glastheim.txt:196,direct-spawn
MVP,2534,FACEWORM_QUEEN_B,Blue Faceworm Queen,155,50000000,npc/re/instances/FacewormsNest.txt:1467,implemented-variable
MVP,2529,FACEWORM_QUEEN,Faceworm Queen,155,50000000,npc/re/instances/FacewormsNest.txt:1446,direct-spawn
MVP,2533,FACEWORM_QUEEN_G,Green Faceworm Queen,155,50000000,npc/re/instances/FacewormsNest.txt:1463,implemented-variable
MVP,2189,COELACANTH_H_M,Mutant Coelacanth,155,5200000,npc/re/instances/MalangdoCulvert.txt:803,direct-spawn
MVP,2532,FACEWORM_QUEEN_R,Red Faceworm Queen,155,50000000,npc/re/instances/FacewormsNest.txt:1424,direct-spawn
MVP,2190,COELACANTH_H_A,Violent Coelacanth,155,5200000,npc/re/instances/MalangdoCulvert.txt:809,direct-spawn
MVP,2535,FACEWORM_QUEEN_Y,Yellow Faceworm Queen,155,50000000,npc/re/instances/FacewormsNest.txt:1459,implemented-variable
MVP,3741,MECHASPIDER,Spider Chariot,158,9799123,npc/re/mobs/dungeons/rockridge.txt:18,direct-spawn
MVP,3029,GRIM_REAPER_ANKOU,Reaper Yanku,159,50000000,npc/re/instances/IsleOfBios.txt:614,direct-spawn
MVP,1647,B_EREMES,Assassin Cross Eremes,160,4230000,npc/re/instances/WolfchevLaboratory.txt:1970,direct-spawn
MVP,2996,XM_CELINE_KIMI,Celine Kimi,160,66666666,npc/re/instances/HorrorToyFactory.txt:1071,direct-spawn
MVP,2238,B_CHEN,Champion Chen,160,4249350,npc/re/instances/WolfchevLaboratory.txt:1974,direct-spawn
MVP,2240,B_ALPHOCCIO,Clown Alphoccio,160,3894278,npc/re/instances/WolfchevLaboratory.txt:1976,direct-spawn
MVP,2236,B_FLAMEL,Creator Flamel,160,4230000,npc/re/instances/WolfchevLaboratory.txt:1978,direct-spawn
MVP,2241,B_TRENTINI,Gypsy Trentini,160,3894278,npc/re/instances/WolfchevLaboratory.txt:1972,direct-spawn
MVP,1649,B_MAGALETA,High Priest Margaretha,160,4800000,npc/re/instances/WolfchevLaboratory.txt:1986,direct-spawn
MVP,1651,B_KATRINN,High Wizard Kathryne,160,4500000,npc/re/instances/WolfchevLaboratory.txt:1984,direct-spawn
MVP,3659,MD_LICH_LORD_160,Lich Lord,160,23485539,npc/re/instances/FridayDungeon.txt:128,implemented-variable
MVP,1646,B_SEYREN,Lord Knight Seyren,160,4680000,npc/re/instances/WolfchevLaboratory.txt:1964,direct-spawn
MVP,2235,B_RANDEL,Paladin Randel,160,6870000,npc/re/instances/WolfchevLaboratory.txt:1980,direct-spawn
MVP,2237,B_CELIA,Professor Celia,160,3847804,npc/re/instances/WolfchevLaboratory.txt:1982,direct-spawn
MVP,1650,B_SHECIL,Sniper Cecil,160,4140000,npc/re/instances/WolfchevLaboratory.txt:1966,direct-spawn
MVP,2239,B_GERTIE,Stalker Gertie,160,4057279,npc/re/instances/WolfchevLaboratory.txt:1968,direct-spawn
MVP,3473,AS_RAGGED_GOLEM,Stefan.J.E.Wolf,160,20000000,npc/re/instances/SkyFortress.txt:1563,direct-spawn
MVP,1648,B_HARWORD,Whitesmith Howard,160,6750000,npc/re/instances/WolfchevLaboratory.txt:1988,direct-spawn
MVP,3804,ILL_TURTLE_GENERAL,Ominous Turtle General,165,11628549,npc/re/mobs/dungeons/tur_dun.txt:87,direct-spawn
MVP,3254,T_W_O,T_W_O,165,48000000,npc/re/instances/LastRoom.txt:389,direct-spawn
MVP,20648,EP17_2_PITAYA_BOSS,Boss Meow,168,19298694,npc/re/mobs/fields/ba_lost.txt:14,direct-spawn
MVP,20273,ILL_TAO_GUNKA,Ancient Tao Gunka,169,19280000,npc/re/mobs/dungeons/beach_dun.txt:64,implemented-variable
MVP,20277,ILL_WOOTAN_DEFENDER,Ancient Wootan Defender,169,20154000,npc/re/mobs/dungeons/beach_dun.txt:64,computed-spawn
MVP,3074,TIMEHOLDER,Time Holder,170,25000000,npc/re/mobs/dungeons/c_tower.txt:73,direct-spawn
MVP,20381,EP17_1_R4885_BESTIA,R48-85-Bestia,174,4885000,npc/re/mobs/dungeons/sp_rudus.txt:19,direct-spawn
MVP,3097,MM_MOROCC_ADT,Despair God Morroc,175,120000000,npc/re/instances/TempleOfDemonGod.txt:2002,direct-spawn
MVP,21395,ILL_MAYA,Silent Maya,175,24512365,npc/re/mobs/dungeons/anthell.txt:149,direct-spawn
MVP,20621,MD_REDPEPPER_H,Senior Red Pepper,185,1008398847,npc/re/instances/HiddenGarden.txt:2108,direct-spawn
MVP,3241,V_B_FLAMEL,Genetic Flamel,186,14400000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,3245,V_B_ALPHOCCIO,Minstrel Alphoccio,186,10800000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,3246,V_B_TRENTINI,Wanderer Trentini,186,10800000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,3221,V_B_MAGALETA,Arch Bishop Margaretha,187,14400000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,3223,V_B_HARWORD,Mechanic Howard,187,18000000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,3224,V_B_KATRINN,Warlock Kathryne,187,10800000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,20419,MUSPELLSKOLL_H,Rigid Muspellskoll,188,48530254,npc/re/mobs/dungeons/mag_dun.txt:44,direct-spawn
MVP,3240,V_B_RANDEL,Royal Guard Randel,188,18000000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,3244,V_B_GERTIE,Shadow Chaser Gertie,188,14400000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,3242,V_B_CELIA,Sorcerer Celia,188,16200000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,3243,V_B_CHEN,Sura Chen,188,12600000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,3220,V_B_EREMES,Guillotine Cross Eremes,189,12600000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,3222,V_B_SHECIL,Ranger Cecil,189,12600000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,3225,V_B_SEYREN,Rune Knight Seyren,189,14400000,npc/re/mobs/dungeons/lhz_dun_n.txt:84,direct-spawn
MVP,20422,DARK_LORD_H,Corrupted Dark Lord,194,74476822,npc/re/mobs/dungeons/glastheim.txt:219,direct-spawn
MVP,20421,BRINARANEA_H,Corrupted Spider Queen,195,74623473,npc/re/mobs/dungeons/glastheim.txt:218,direct-spawn
MVP,20601,JUNGOLIANT,Jewel Ungoliant,197,37847096,npc/re/mobs/dungeons/ein_dun.txt:52,direct-spawn
MVP,20811,ILL_KRAKEN,Deep Sea Kraken,204,81289587,npc/re/mobs/dungeons/iz_dun.txt:145,direct-spawn
MVP,20843,ILL_ABYSMAL_WITCH,Deep Sea Witch,205,78368745,npc/re/mobs/dungeons/iz_dun.txt:181,direct-spawn
MVP,21301,EP18_BURNING_FANG,Burning Fang,212,98158095,npc/re/mobs/dungeons/oz_dun.txt:17,direct-spawn
MVP,20934,R001_BESTIA,R001-Bestia,215,134179630,npc/re/mobs/dungeons/sp_rudus.txt:31,direct-spawn
MVP,21360,EP18_MD_SCHULANG_L,Schulang,224,2000000000,npc/re/instances/VillaofDeception.txt:175,implemented-variable
MVP,21361,EP18_MD_DEMI_FREYJA_L,Twisted God Freyja,224,2000000000,npc/re/instances/VillaofDeception.txt:176,implemented-variable
MVP,20928,CHIMERA_THEONE,The One,245,275042400,npc/re/mobs/dungeons/amicitia.txt:18,direct-spawn
MVP,20943,DEATH_WITCH,Death Witch,255,398856250,npc/re/mobs/dungeons/nif_dun.txt:18,direct-spawn
Mini Boss,1089,TOAD,Toad,27,660,npc/re/mobs/fields/geffen.txt:34,direct-or-array-reference
Mini Boss,1093,ECLIPSE,Eclipse,31,625,npc/re/other/adven_boards.txt:647,direct-or-array-reference
Mini Boss,3812,MD_AMERING,Huge Amering,35,72810,npc/re/instances/PoringVillage.txt:538,aegis-reference
Mini Boss,3811,MD_GOLDRING,Hugh Goldling,35,72118,npc/re/instances/PoringVillage.txt:422,aegis-reference
Mini Boss,1592,A_MOBSTER,Gangster,40,8000,npc/quests/quests_lighthalzen.txt:38,direct-or-array-reference
Mini Boss,1090,MASTERING,Mastering,42,1260,npc/re/mobs/fields/yuno.txt:77,direct-or-array-reference
Mini Boss,1091,DRAGON_FLY,Dragon Fly,47,1035,npc/instances/EndlessTower.txt:990,direct-or-array-reference
Mini Boss,1626,G_DARK_PRIEST,Hellion Revenant,59,8600,npc/re/mobs/dungeons/gef_dun.txt:70,direct-or-array-reference
Mini Boss,1888,GARM_BABY_R,Baby Hatii,61,15199,npc/quests/quests_moscovia.txt:9054,direct-or-array-reference
Mini Boss,2039,EXECUTIONER_R,Executioner,65,28980,npc/re/jobs/3-1/rune_knight.txt:2069,direct-or-array-reference
Mini Boss,1262,MUTANT_DRAGON,Mutant Dragonoid,65,50706,npc/instances/EndlessTower.txt:816,direct-or-array-reference
Mini Boss,1582,DEVILING,Deviling,66,16890,npc/re/mobs/fields/yuno.txt:61,direct-or-array-reference
Mini Boss,1283,CHIMERA,Chimera,70,26406,npc/instances/EndlessTower.txt:921,direct-or-array-reference
Mini Boss,2040,TIRFING_R,Ogretooth,71,29900,npc/re/quests/woe_te/te_goditem_prt01.txt:841,direct-or-array-reference
Mini Boss,1889,GARM_R,Marozka's Guard,73,100000,npc/quests/quests_moscovia.txt:9139,direct-or-array-reference
Mini Boss,1530,G_DRACULA,Dracula,75,350000,npc/other/arena/arena_party.txt:868,direct-or-array-reference
Mini Boss,2041,MYSTELTAINN_R,Mysteltainn,76,33350,npc/re/jobs/3-1/rune_knight.txt:2117,direct-or-array-reference
Mini Boss,1096,ANGELING,Angeling,77,19800,npc/re/mobs/fields/yuno.txt:62,direct-or-array-reference
Mini Boss,1307,CAT_O_NINE_TAIL,Cat o' Nine Tails,79,23600,npc/instances/EndlessTower.txt:551,direct-or-array-reference
Mini Boss,1950,B_B_GUARDIAN,Camp Guardian,80,241212,npc/re/quests/woe_te/te_goditem_prt01.txt:750,direct-or-array-reference
Mini Boss,1933,GARDEN_WATCHER,Garden Watcher,81,300000,npc/quests/okolnir.txt:1809,direct-or-array-reference
Mini Boss,1289,MAYA_PUPLE,Maya Purple,81,77670,npc/re/other/adven_boards.txt:100,direct-or-array-reference
Mini Boss,1388,ARCHANGELING,Arc Angeling,84,25100,npc/re/mobs/fields/yuno.txt:76,direct-or-array-reference
Mini Boss,1890,GOPINICH_R,The Immortal Koshei,85,599321,npc/quests/quests_moscovia.txt:6874,direct-or-array-reference
Mini Boss,1949,B_S_GUARDIAN,Camp Guardian,86,457599,npc/re/quests/woe_te/te_goditem_prt01.txt:641,direct-or-array-reference
Mini Boss,1674,MONEMUS,Monemus,88,80000,npc/quests/quests_juperos.txt:1722,direct-or-array-reference
Mini Boss,1960,G_ENTWEIHEN_M,Thorn of Magic,89,5400000,npc/instances/EndlessTower.txt:1869,direct-or-array-reference
Mini Boss,1961,G_ENTWEIHEN_S,Thorn of Purification,89,5400000,npc/instances/EndlessTower.txt:1870,direct-or-array-reference
Mini Boss,1959,G_ENTWEIHEN_H,Thorn of Recovery,89,350000,npc/instances/EndlessTower.txt:1875,direct-or-array-reference
Mini Boss,1958,G_ENTWEIHEN_R,Thorny Skeleton,89,5400000,npc/instances/EndlessTower.txt:1868,direct-or-array-reference
Mini Boss,1120,GHOSTRING,Ghostring,90,26700,npc/instances/EndlessTower.txt:748,direct-or-array-reference
Mini Boss,1733,KIEL,Kiehl,90,523500,npc/re/quests/woe_te/te_goditem_prt01.txt:839,direct-or-array-reference
Mini Boss,2192,MD_OCTOPUS,Octopus,90,6000,npc/re/instances/OctopusCave.txt:248,direct-or-array-reference
Mini Boss,2193,MD_OCTOPUS_LEG,Octopus Leg,90,500000,npc/re/instances/OctopusCave.txt:215,direct-or-array-reference
Mini Boss,1930,PIAMETTE,Piamette,90,3000500,npc/quests/okolnir.txt:1240,direct-or-array-reference
Mini Boss,1320,OWL_DUKE,Owl Duke,92,7780,npc/instances/EndlessTower.txt:926,direct-or-array-reference
Mini Boss,1092,VAGABOND_WOLF,Vagabond Wolf,93,8203,npc/instances/EndlessTower.txt:415,direct-or-array-reference
Mini Boss,1887,FREEZER_R,Freezer,94,9990,npc/quests/quests_moscovia.txt:9053,direct-or-array-reference
Mini Boss,2176,MD_CRAB,Deep Sea Crab,95,120000,npc/re/instances/MalangdoCulvert.txt:733,direct-or-array-reference
Mini Boss,2175,MD_MARSE,Deep Sea Marse,95,120000,npc/re/instances/MalangdoCulvert.txt:734,direct-or-array-reference
Mini Boss,2174,MD_VADON,Deep Sea Vadon,95,120000,npc/re/instances/MalangdoCulvert.txt:735,direct-or-array-reference
Mini Boss,2208,WILD_RIDER,Wild Rider,95,33300,npc/re/mobs/dungeons/mal_dun.txt:25,direct-or-array-reference
Mini Boss,1302,DARK_ILLUSION,Dark Illusion,96,46255,npc/instances/EndlessTower.txt:873,direct-or-array-reference
Mini Boss,1929,BAPHOMET_I,Unsealed Baphomet,98,4520500,npc/instances/SealedShrine.txt:1232,direct-or-array-reference
Mini Boss,1931,WISH_MAIDEN,Wish Maiden,98,3567700,npc/quests/okolnir.txt:2115,direct-or-array-reference
Mini Boss,2443,AIRA,Aira,99,270000,npc/re/quests/woe_te/te_goditem_prt01.txt:885,direct-or-array-reference
Mini Boss,2446,EZELLA,Ezella,99,270000,npc/re/quests/woe_te/te_goditem_prt01.txt:891,direct-or-array-reference
Mini Boss,2444,KULUNA,Kuluna,99,270000,npc/re/quests/woe_te/te_goditem_prt01.txt:887,direct-or-array-reference
Mini Boss,2447,LUNE,Lune,99,270000,npc/re/quests/woe_te/te_goditem_prt01.txt:893,direct-or-array-reference
Mini Boss,2445,MALLINA,Mallina,99,270000,npc/re/quests/woe_te/te_goditem_prt01.txt:889,direct-or-array-reference
Mini Boss,2448,MORIN,Morin,99,270000,npc/re/quests/woe_te/te_goditem_prt01.txt:895,direct-or-array-reference
Mini Boss,2449,NASARIN,Nasarin,99,270000,npc/re/quests/woe_te/te_goditem_prt01.txt:897,direct-or-array-reference
Mini Boss,2177,MD_CORNUTUS,Deep Sea Cornutus,100,160000,npc/re/instances/MalangdoCulvert.txt:738,direct-or-array-reference
Mini Boss,2179,MD_KUKRE,Deep Sea Kukre,100,160000,npc/re/instances/MalangdoCulvert.txt:737,direct-or-array-reference
Mini Boss,2178,MD_SHELLFISH,Deep Sea Shellfish,100,160000,npc/re/instances/MalangdoCulvert.txt:736,direct-or-array-reference
Mini Boss,1783,GALION,Galion,100,8772,npc/instances/EndlessTower.txt:805,direct-or-array-reference
Mini Boss,1542,G_INCANTATION_SAMURA,Incantation Samurai,100,901000,npc/other/arena/arena_party.txt:885,direct-or-array-reference
Mini Boss,2375,MOROCC_4_142,Incarnation of Morocc,100,4444,npc/re/instances/EclageInterior.txt:244,direct-or-array-reference
Mini Boss,2376,MOROCC_2_142,Incarnation of Morocc,100,2000,npc/re/instances/EclageInterior.txt:203,direct-or-array-reference
Mini Boss,1205,EXECUTIONER,Executioner,101,40200,npc/guild2/agit_main_se.txt:34,direct-or-array-reference
Mini Boss,1529,G_DARK_SNAKE_LORD,Evil Snake Lord,105,1101000,npc/other/arena/arena_party.txt:865,direct-or-array-reference
Mini Boss,1259,GRYPHON,Gryphon,105,60720,npc/instances/EndlessTower.txt:920,direct-or-array-reference
Mini Boss,1447,G_GRYPHON,Gryphon,105,60720,npc/other/powernpc.txt:201,direct-or-array-reference
Mini Boss,20353,MD_CROB,Sorrow Crob,111,3441000,npc/re/instances/Regenschirm.txt:688,direct-or-array-reference
Mini Boss,1204,TIRFING,Ogretooth,114,59000,npc/instances/EndlessTower.txt:907,direct-or-array-reference
Mini Boss,2317,BANGUNGOT_1,Bangungot,115,1519517,npc/re/instances/BangungotHospital.txt:523,direct-or-array-reference
Mini Boss,3630,EP16_2_E_BOLKOBA,Elena Bolkova,115,2000000,npc/re/quests/quests_16_2.txt:4903,direct-or-array-reference
Mini Boss,2198,KING_DRAMOH,King Dramoh,117,28453,npc/re/mobs/dungeons/iz_dun.txt:121,direct-or-array-reference
Mini Boss,1295,OWL_BARON,Owl Baron,120,25428,npc/instances/EndlessTower.txt:927,direct-or-array-reference
Mini Boss,1702,RETRIBUTION,Baroness of Retribution,121,31663,npc/instances/EndlessTower.txt:829,direct-or-array-reference
Mini Boss,1720,HYDRO,Hydrolancer,121,41500,npc/re/mobs/dungeons/abyss.txt:50,direct-or-array-reference
Mini Boss,1703,SOLACE,Lady Solace,123,29028,npc/instances/EndlessTower.txt:830,direct-or-array-reference
Mini Boss,1701,SHELTER,Mistress of Shelter,125,29275,npc/instances/EndlessTower.txt:828,direct-or-array-reference
Mini Boss,1991,TENDRILRION,Tendrillion,126,1397451,npc/re/quests/woe_te/te_goditem_prt01.txt:712,direct-or-array-reference
