Room Index,Monster ID,AegisName,Name,Level,Arena Group,MVP Mode,Generic Arena Playable,Mob Skill DB,Validation Source,Validation Type,Canonical Selection
33,2068,BOITATA,Boitata,93,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
34,2156,LEAK,Leak,94,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
35,1373,LORD_OF_DEATH,Lord of the Dead,94,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
36,2101,E_LORD_OF_DEATH2,Lord of the Dead,94,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
37,2194,MD_GIANT_OCTOPUS,Giant Octopus,95,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
38,1272,DARK_LORD,Dark Lord,96,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
39,2052,E_DARKLORD,Dark Lord,96,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
40,2102,E_DARK_LORD,Dark Lord,96,Lv 1-99,true,true,not required; basic attack/database behavior available,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
41,1885,GOPINICH,Gopinich,97,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
42,1518,BACSOJIN,White Lady,97,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
43,1630,BACSOJIN_,White Lady,97,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
44,1252,GARM,Hatii,98,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
45,1779,KTULLANUX,Ktullanux,98,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
46,2103,E_KTULLANUX,Ktullanux,98,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
47,1766,EM_ANGELING,Angeling,99,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
48,1502,PORING_V,Bring it on!,99,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
49,1817,EVENT_DETALE,Detardeurus,99,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
50,1767,EM_DEVILING,Deviling,99,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
51,1813,EVENT_HYDRO,Hydrolancer,99,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
52,2442,B_SUPERNOVICE,King of the Alley,99,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
53,1876,E_LORD_OF_DEATH,Lord of the Dead,99,Lv 1-99,true,true,not required; basic attack/database behavior available,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
54,1956,NAGHT_SIEGER,Naght Sieger,99,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
55,1708,THANATOS,Thanatos Phantom,99,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
56,2441,B_NOVICE,The Last One,99,Lv 1-99,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
57,2187,COELACANTH_N_A,Gloomy Coelacanth,100,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
58,3658,MD_LICH_LORD_100,Lich Lord,100,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
59,2352,E_RSX_0805,RSX 0805,100,Lv 100-149,true,true,not required; basic attack/database behavior available,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
60,1623,RSX_0806,RSX-0806,100,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
61,1492,INCANTATION_SAMURAI,Samurai Specter,100,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
62,2188,COELACANTH_N_M,Weird Coelacanth,100,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
63,3426,MIN_EDDGA,Infinite Eddga,101,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
64,3000,EP14_MORS_BOSSB,Morocc Necromancer,101,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
65,3427,MIN_OSIRIS,Infinite Osiris,103,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
66,1418,DARK_SNAKE_LORD,Evil Snake Lord,105,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
67,2104,E_DARK_SNAKE_LORD,Evil Snake Lord,105,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
68,3428,MIN_PHREEONI,Infinite Phreeoni,105,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
69,3429,MIN_ORK_HERO,Infinite Orc Hero,107,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
70,3430,MIN_TAO_GUNKA,Infinite Tao Gunka,109,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
71,3628,EP16_2_H_HUNTER_EV,Heart Hunter Ebel,110,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
72,1583,TAO_GUNKA,Tao Gunka,110,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
73,1312,TURTLE_GENERAL,Turtle General,110,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
74,2105,E_TURTLE_GENERAL,Turtle General,110,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
75,3633,EP16_2_VENOM_KIMERA,Venomous Chimera,110,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
76,1785,ATROCE,Atroce,113,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
77,3450,BIJOU,Bijou,115,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
78,20346,MD_MIGUEL,Miguel,115,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
79,2022,S_NYDHOG,Nidhoggur's Shadow,117,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
80,3758,ILL_MOONLIGHT,Angry Moonlight Flower,118,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
81,20340,MD_EL_A17T,EL1-A17T,118,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
82,3621,EP16_2_MM_CUTIE,Pet Child,120,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
83,2202,KRAKEN,Kraken,124,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
84,1734,KIEL_,Kiel D-01,125,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
85,1685,APOCALIPS_H,Vesper,128,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
86,2106,E_APOCALIPS_H,Vesper,128,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
87,3181,E1_FELOCK,Captain Ferlock,130,Lv 100-149,true,true,not required; basic attack/database behavior available,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
88,3796,ILL_KTULLANUX,Awakened Ktullanux,135,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
89,1719,DETALE,Detardeurus,135,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
90,2131,LOST_DRAGON,Lost Dragon,135,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
91,20620,MD_REDPEPPER,Red Pepper,135,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
92,2107,E_FALLINGBISHOP,Fallen Bishop Hibram,138,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
93,1871,FALLINGBISHOP,Falling Bishop,138,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
94,20659,MD_PITAYA_BOSS,Pitaya Boss,138,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
95,3757,ILL_DRACULA,Dracula of Rage,139,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
96,1768,GLOOMUNDERNIGHT,Gloom Under Night,139,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
97,2108,E_GLOOMUNDERNIGHT,Gloom Under Night,139,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
98,20642,MD_SWEETY,Sweety,139,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
99,3073,GRAND_PERE,Awakened Ferre,140,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
100,2165,I_QUEEN_SCARABA,Gold Queen Scaraba,140,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
101,2087,QUEEN_SCARABA,Scaraba Queen,140,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
102,2341,RWC_BOSS2011,2011 RWC Boss,141,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
103,2249,PYURIEL,Angry Student Pyuriel,141,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
104,1658,B_YGNIZEM,Egnigem Cenia,141,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
105,1751,RANDGRIS,Valkyrie Randgris,141,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
106,2109,E_RANDGRIS,Valkyrie Randgris,141,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
107,2253,DAEHYON,General Daehyun,142,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
108,2255,KADES,Dark Guardian Kades,143,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
109,2362,N_AMON_RA,Amon Ra (Nightmare),145,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
110,3124,CHARLESTON3,Charleston 3,145,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
111,20667,MD_SILVA_PAPILIA,Silva Papilia,145,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
112,2251,GIOIA,Gioia,146,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
113,1832,IFRIT,Ifrit,146,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
114,2110,E_IFRIT,Ifrit,146,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
115,1874,BEELZEBUB_,Beelzebub,147,Lv 100-149,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
116,2476,MG_AMDARAIS,Amdarais,150,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
117,2475,MG_CORRUPTION_ROOT,Corrupted Soul,150,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
118,2319,BUWAYA,Buwaya,151,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
119,2942,MM_EVIL_FANATICS,Evil Fanatics,151,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
120,1917,MOROCC_,Wounded Morocc,151,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
121,2483,NG_BAPHOMET,Nightmare Baphomet,154,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
122,2534,FACEWORM_QUEEN_B,Blue Faceworm Queen,155,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
123,2529,FACEWORM_QUEEN,Faceworm Queen,155,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
124,2533,FACEWORM_QUEEN_G,Green Faceworm Queen,155,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
125,2189,COELACANTH_H_M,Mutant Coelacanth,155,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
126,2532,FACEWORM_QUEEN_R,Red Faceworm Queen,155,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
127,2190,COELACANTH_H_A,Violent Coelacanth,155,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
128,2535,FACEWORM_QUEEN_Y,Yellow Faceworm Queen,155,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
129,3741,MECHASPIDER,Spider Chariot,158,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
130,3029,GRIM_REAPER_ANKOU,Reaper Yanku,159,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
131,1647,B_EREMES,Assassin Cross Eremes,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
132,2113,E_B_EREMES,Assassin Cross Eremes,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
133,2996,XM_CELINE_KIMI,Celine Kimi,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
134,2238,B_CHEN,Champion Chen,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
135,2240,B_ALPHOCCIO,Clown Alphoccio,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
136,2236,B_FLAMEL,Creator Flamel,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
137,2564,GEFFEN_FENRIR,Fenrir,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
138,2241,B_TRENTINI,Gypsy Trentini,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
139,1649,B_MAGALETA,High Priest Margaretha,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
140,1651,B_KATRINN,High Wizard Kathryne,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
141,3659,MD_LICH_LORD_160,Lich Lord,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
142,1646,B_SEYREN,Lord Knight Seyren,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
143,2112,E_B_SEYREN,Lord Knight Seyren,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
144,2235,B_RANDEL,Paladin Randel,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
145,2237,B_CELIA,Professor Celia,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
146,3190,MM_SARAH,Sarah Irene,160,Lv 150-199,true,true,not required; basic attack/database behavior available,db/re/mob_db.yml,spawn-local mode normalization,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
147,1650,B_SHECIL,Sniper Cecil,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
148,2239,B_GERTIE,Stalker Gertie,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
149,3473,AS_RAGGED_GOLEM,Stefan.J.E.Wolf,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
150,1648,B_HARWORD,Whitesmith Howard,160,Lv 150-199,true,true,present,db/re/mob_db.yml,direct database spawn,Every Modes.Mvp: true Monster ID retained; duplicate names distinguished by ID
