Monster ID,AegisName,Name,Level,Exclusion Reason,First Enabled Reference
22644,S_DUMMY3_DEMON,Dummy (Demon Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:239
21088,S_DUMMY_100_DORAMP,Dummy (Doram Player),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:26
22629,S_DUMMY2_DRAGON,Dummy (Dragon Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:155
22639,S_DUMMY3_DRAGON,Dummy (Dragon Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:236
21079,S_DUMMY_100_GROUND,Dummy (Earth Lv1),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:54
22650,S_DUMMY2_GROUND,Dummy (Earth),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:132
22660,S_DUMMY3_GROUND,Dummy (Earth),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:213
22554,S_DUMMY_XLARGE_R40,Dummy (Extra Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:24
22558,S_DUMMY_XLARGE_R50,Dummy (Extra Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:23
22567,S_DUMMY_XLARGE1_R40,Dummy (Extra Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:107
22571,S_DUMMY_XLARGE1_R50,Dummy (Extra Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:106
22581,S_DUMMY_XLARGE2_R40,Dummy (Extra Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:188
22585,S_DUMMY_XLARGE2_R50,Dummy (Extra Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:187
22592,S_DUMMY_XLARGE_M40,Dummy (Extra Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:42
22596,S_DUMMY_XLARGE_M50,Dummy (Extra Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:41
22606,S_DUMMY_XLARGE1_M40,Dummy (Extra Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:124
22610,S_DUMMY_XLARGE1_M50,Dummy (Extra Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:123
22620,S_DUMMY_XLARGE2_M40,Dummy (Extra Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:204
22624,S_DUMMY_XLARGE2_M50,Dummy (Extra Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:205
21080,S_DUMMY_100_FIRE,Dummy (Fire Lv1),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:49
22651,S_DUMMY2_FIRE,Dummy (Fire),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:131
22661,S_DUMMY3_FIRE,Dummy (Fire),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:212
22633,S_DUMMY2_FISH,Dummy (Fish Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:160
22643,S_DUMMY3_FISH,Dummy (Fish Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:241
22628,S_DUMMY2_NOTHING,Dummy (Formless Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:153
22638,S_DUMMY3_NOTHING,Dummy (Formless Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:234
21085,S_DUMMY_100_TELEKINESIS,Dummy (Ghost Lv1),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:56
22656,S_DUMMY2_TELEKINESIS,Dummy (Ghost),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:136
22666,S_DUMMY3_TELEKINESIS,Dummy (Ghost),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:217
21083,S_DUMMY_100_SAINT,Dummy (Holy Lv1),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:57
22654,S_DUMMY2_SAINT,Dummy (Holy),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:138
22664,S_DUMMY3_SAINT,Dummy (Holy),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:219
21087,S_DUMMY_100_HUMANP,Dummy (Human Player),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:27
22631,S_DUMMY2_HUMAN,Dummy (Human Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:159
22641,S_DUMMY3_HUMAN,Dummy (Human Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:240
22632,S_DUMMY2_INSECT,Dummy (Insect Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:161
22642,S_DUMMY3_INSECT,Dummy (Insect Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:242
22553,S_DUMMY_LARGE_R10,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:21
22557,S_DUMMY_LARGE_R20,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:20
22563,S_DUMMY_LARGE1,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:105
22566,S_DUMMY_LARGE1_R10,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:104
22570,S_DUMMY_LARGE1_R20,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:103
22574,S_DUMMY_LARGE1_R30,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:102
22577,S_DUMMY_LARGE2,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:186
22580,S_DUMMY_LARGE2_R10,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:185
22584,S_DUMMY_LARGE2_R20,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:184
22588,S_DUMMY_LARGE2_R30,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:183
22591,S_DUMMY_LARGE_M10,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:39
22595,S_DUMMY_LARGE_M20,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:38
22599,S_DUMMY_LARGE_M30,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:37
22602,S_DUMMY_LARGE3,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:122
22605,S_DUMMY_LARGE3_M10,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:121
22609,S_DUMMY_LARGE3_M20,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:120
22613,S_DUMMY_LARGE3_M30,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:119
22616,S_DUMMY_LARGE4,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:203
22619,S_DUMMY_LARGE4_M10,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:202
22623,S_DUMMY_LARGE4_M20,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:201
22627,S_DUMMY_LARGE4_M30,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:200
22668,S_DUMMY_LARGE_R30,Dummy (Large),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:19
22552,S_DUMMY_MEDIUM_R10,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:17
22556,S_DUMMY_MEDIUM_R20,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:16
22560,S_DUMMY_MEDIUM_R30,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:15
22562,S_DUMMY_MEDIUM1,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:101
22565,S_DUMMY_MEDIUM1_R10,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:100
22569,S_DUMMY_MEDIUM1_R20,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:99
22573,S_DUMMY_MEDIUM1_R30,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:98
22576,S_DUMMY_MEDIUM2,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:182
22579,S_DUMMY_MEDIUM2_R10,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:181
22583,S_DUMMY_MEDIUM2_R20,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:180
22587,S_DUMMY_MEDIUM2_R30,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:179
22590,S_DUMMY_MEDIUM_M10,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:35
22594,S_DUMMY_MEDIUM_M20,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:34
22598,S_DUMMY_MEDIUM_M30,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:33
22601,S_DUMMY_MEDIUM3,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:118
22604,S_DUMMY_MEDIUM3_M10,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:117
22608,S_DUMMY_MEDIUM3_M20,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:116
22612,S_DUMMY_MEDIUM3_M30,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:115
22615,S_DUMMY_MEDIUM4,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:199
22618,S_DUMMY_MEDIUM4_M10,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:198
22622,S_DUMMY_MEDIUM4_M20,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:197
22626,S_DUMMY_MEDIUM4_M30,Dummy (Medium),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:196
21077,S_DUMMY_100_NOTHING2,Dummy (Neutral Lv1),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:55
22648,S_DUMMY2_NOTHING2,Dummy (Neutral),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:134
22658,S_DUMMY3_NOTHING2,Dummy (Neutral),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:215
22635,S_DUMMY2_PLANT,Dummy (Plant Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:156
22645,S_DUMMY3_PLANT,Dummy (Plant Race),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:237
21082,S_DUMMY_100_POISON,Dummy (Poison Lv1),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:51
22653,S_DUMMY2_POISON,Dummy (Poison),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:135
22663,S_DUMMY3_POISON,Dummy (Poison),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:216
22551,S_DUMMY_SMALL_R10,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:13
22555,S_DUMMY_SMALL_R20,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:12
22559,S_DUMMY_SMALL_R30,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:11
22561,S_DUMMY_SMALL1,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:97
22564,S_DUMMY_SMALL1_R10,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:96
22568,S_DUMMY_SMALL1_R20,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:95
22572,S_DUMMY_SMALL1_R30,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:94
22575,S_DUMMY_SMALL2,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:178
22578,S_DUMMY_SMALL2_R10,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:177
22582,S_DUMMY_SMALL2_R20,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:176
22586,S_DUMMY_SMALL2_R30,Dummy (Small),100,"No normal attack data; treated as a dummy, objective, or script mechanic",npc/re/mobs/tra_fild_123.txt:175
