Roster Index,Monster ID,AegisName,Name,Level,HP,Arena Group,Modes.Mvp,IgnoreMelee,IgnoreMagic,IgnoreRanged,IgnoreMisc,Visible Name Occurrences in MVP DB,Before MVP Room,Before MVP Arena,After MVP Room,After MVP Arena,Arena/Room Fightability Adjustment,Notes
12,1399,EVENT_BAPHO,Baphomet,68,1264000,Lv 1-99,true,false,false,false,false,3,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
13,1038,OSIRIS,Osiris,68,1175840,Lv 1-99,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
14,2096,E_OSIRIS2,Osiris,68,475840,Lv 1-99,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
15,1511,AMON_RA,Amon Ra,69,1009000,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
16,1159,PHREEONI,Phreeoni,71,300000,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
17,1389,DRACULA,Dracula,75,350000,Lv 1-99,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
18,2097,E_DRACULA,Dracula,75,350000,Lv 1-99,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
19,1046,DOPPELGANGER,Doppelganger,77,380000,Lv 1-99,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
20,2098,E_DOPPELGANGER,Doppelganger,77,380000,Lv 1-99,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
21,1059,MISTRESS,Mistress,78,378000,Lv 1-99,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
22,2099,E_MISTRESS,Mistress,78,378000,Lv 1-99,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
23,1150,MOONLIGHT,Moonlight Flower,79,324000,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
24,1688,LADY_TANEE,Lady Tanee,80,360000,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
25,1039,BAPHOMET,Baphomet,81,668000,Lv 1-99,true,false,false,false,false,3,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
26,2100,E_BAPHOMET2,Baphomet,81,668000,Lv 1-99,true,false,false,false,false,3,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
27,1980,KUBLIN,Kublin,85,633600,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
28,1157,PHARAOH,Pharaoh,85,900000,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
29,1957,ENTWEIHEN,Entweihen Crothen,90,2400500,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
30,1112,DRAKE,Drake,91,804500,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
31,1251,KNIGHT_OF_WINDSTORM,Stormy Knight,92,630500,Lv 1-99,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
32,2212,E_KNIGHT_OF_WINDSTORM,Stormy Knight,92,100000000,Lv 1-99,true,true,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
33,2068,BOITATA,Boitata,93,1283990,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
34,2156,LEAK,Leak,94,1266000,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
35,1373,LORD_OF_DEATH,Lord of the Dead,94,603883,Lv 1-99,true,false,false,false,false,3,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
36,2101,E_LORD_OF_DEATH2,Lord of the Dead,94,603883,Lv 1-99,true,false,false,false,false,3,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
37,2194,MD_GIANT_OCTOPUS,Giant Octopus,95,500000,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
38,1272,DARK_LORD,Dark Lord,96,1190900,Lv 1-99,true,false,false,false,false,3,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
39,2052,E_DARKLORD,Dark Lord,96,100000000,Lv 1-99,true,true,false,false,false,3,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
40,2102,E_DARK_LORD,Dark Lord,96,1190900,Lv 1-99,true,false,false,false,false,3,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
41,1885,GOPINICH,Gopinich,97,1120500,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
42,1518,BACSOJIN,White Lady,97,720500,Lv 1-99,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
43,1630,BACSOJIN_,White Lady,97,720500,Lv 1-99,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
44,1252,GARM,Hatii,98,1275500,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
45,1779,KTULLANUX,Ktullanux,98,2626000,Lv 1-99,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
46,2103,E_KTULLANUX,Ktullanux,98,2626000,Lv 1-99,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
47,1766,EM_ANGELING,Angeling,99,128430,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
48,1502,PORING_V,Bring it on!,99,95000000,Lv 1-99,true,false,false,false,false,1,missing,missing,included,included,none,Database MVP directly summonable.
49,1817,EVENT_DETALE,Detardeurus,99,8880000,Lv 1-99,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
50,1767,EM_DEVILING,Deviling,99,128430,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
51,1813,EVENT_HYDRO,Hydrolancer,99,1880000,Lv 1-99,true,false,false,false,false,1,missing,missing,included,included,none,Database MVP directly summonable.
52,2442,B_SUPERNOVICE,King of the Alley,99,268800,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
53,1876,E_LORD_OF_DEATH,Lord of the Dead,99,99000000,Lv 1-99,true,false,false,false,false,3,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
54,1956,NAGHT_SIEGER,Naght Sieger,99,5000000,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
55,1708,THANATOS,Thanatos Phantom,99,1445660,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
56,2441,B_NOVICE,The Last One,99,265203,Lv 1-99,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
57,2187,COELACANTH_N_A,Gloomy Coelacanth,100,2200000,Lv 100-149,true,true,false,true,false,1,included,included,included,included,none,Database MVP directly summonable.
58,3658,MD_LICH_LORD_100,Lich Lord,100,2516502,Lv 100-149,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
59,2352,E_RSX_0805,RSX 0805,100,10000000,Lv 100-149,true,false,false,false,false,1,missing,missing,included,included,none,Database MVP directly summonable.
60,1623,RSX_0806,RSX-0806,100,1001000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
61,1492,INCANTATION_SAMURAI,Samurai Specter,100,901000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
62,2188,COELACANTH_N_M,Weird Coelacanth,100,2200000,Lv 100-149,true,false,true,false,false,1,included,included,included,included,none,Database MVP directly summonable.
63,3426,MIN_EDDGA,Infinite Eddga,101,1850000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
64,3000,EP14_MORS_BOSSB,Morocc Necromancer,101,80000000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
65,3427,MIN_OSIRIS,Infinite Osiris,103,2850000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
66,1418,DARK_SNAKE_LORD,Evil Snake Lord,105,1101000,Lv 100-149,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
67,2104,E_DARK_SNAKE_LORD,Evil Snake Lord,105,1101000,Lv 100-149,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
68,3428,MIN_PHREEONI,Infinite Phreeoni,105,4750000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
69,3429,MIN_ORK_HERO,Infinite Orc Hero,107,6650000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
70,3430,MIN_TAO_GUNKA,Infinite Tao Gunka,109,8550000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
71,3628,EP16_2_H_HUNTER_EV,Heart Hunter Ebel,110,2800000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
72,1583,TAO_GUNKA,Tao Gunka,110,1252000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
73,1312,TURTLE_GENERAL,Turtle General,110,1442000,Lv 100-149,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
74,2105,E_TURTLE_GENERAL,Turtle General,110,1442000,Lv 100-149,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
75,3633,EP16_2_VENOM_KIMERA,Venomous Chimera,110,2800000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
76,1785,ATROCE,Atroce,113,1502000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
77,3450,BIJOU,Bijou,115,10000000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
78,20346,MD_MIGUEL,Miguel,115,8600000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
79,2022,S_NYDHOG,Nidhoggur's Shadow,117,3452000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
80,3758,ILL_MOONLIGHT,Angry Moonlight Flower,118,4287803,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
81,20340,MD_EL_A17T,EL1-A17T,118,16412000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
82,3621,EP16_2_MM_CUTIE,Pet Child,120,3500000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
83,2202,KRAKEN,Kraken,124,5602800,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
84,1734,KIEL_,Kiel D-01,125,2502000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
85,1685,APOCALIPS_H,Vesper,128,3802000,Lv 100-149,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
86,2106,E_APOCALIPS_H,Vesper,128,3802000,Lv 100-149,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
87,3181,E1_FELOCK,Captain Ferlock,130,3000000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
88,3796,ILL_KTULLANUX,Awakened Ktullanux,135,13521442,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
89,1719,DETALE,Detardeurus,135,6005000,Lv 100-149,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
90,2131,LOST_DRAGON,Lost Dragon,135,608920,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
91,20620,MD_REDPEPPER,Red Pepper,135,9514800,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
92,2107,E_FALLINGBISHOP,Fallen Bishop Hibram,138,5655000,Lv 100-149,true,false,false,false,false,1,missing,missing,included,included,none,Database MVP directly summonable.
93,1871,FALLINGBISHOP,Falling Bishop,138,5655000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
94,20659,MD_PITAYA_BOSS,Pitaya Boss,138,7221377,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
95,3757,ILL_DRACULA,Dracula of Rage,139,6909690,Lv 100-149,true,false,false,false,true,1,included,included,included,included,none,Database MVP directly summonable.
96,1768,GLOOMUNDERNIGHT,Gloom Under Night,139,3005000,Lv 100-149,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
97,2108,E_GLOOMUNDERNIGHT,Gloom Under Night,139,3005000,Lv 100-149,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
98,20642,MD_SWEETY,Sweety,139,5011304,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
99,3073,GRAND_PERE,Awakened Ferre,140,19471800,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
100,2165,I_QUEEN_SCARABA,Gold Queen Scaraba,140,6441600,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
101,2087,QUEEN_SCARABA,Scaraba Queen,140,2441600,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
102,2341,RWC_BOSS2011,2011 RWC Boss,141,3205000,Lv 100-149,true,false,false,false,false,1,missing,missing,included,included,none,Database MVP directly summonable.
103,2249,PYURIEL,Angry Student Pyuriel,141,2205000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
104,1658,B_YGNIZEM,Egnigem Cenia,141,2910088,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
105,1751,RANDGRIS,Valkyrie Randgris,141,3205000,Lv 100-149,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
106,2109,E_RANDGRIS,Valkyrie Randgris,141,3205000,Lv 100-149,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
107,2253,DAEHYON,General Daehyun,142,2500148,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
108,2255,KADES,Dark Guardian Kades,143,2505000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
109,2362,N_AMON_RA,Amon Ra (Nightmare),145,2515784,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
110,3124,CHARLESTON3,Charleston 3,145,23671401,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
111,20667,MD_SILVA_PAPILIA,Silva Papilia,145,7375012,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
112,2251,GIOIA,Gioia,146,2507989,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
113,1832,IFRIT,Ifrit,146,6935000,Lv 100-149,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
114,2110,E_IFRIT,Ifrit,146,6935000,Lv 100-149,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
115,1874,BEELZEBUB_,Beelzebub,147,4805000,Lv 100-149,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
116,2476,MG_AMDARAIS,Amdarais,150,4290000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
117,2475,MG_CORRUPTION_ROOT,Corrupted Soul,150,1820000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
118,2319,BUWAYA,Buwaya,151,4090365,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
119,2942,MM_EVIL_FANATICS,Evil Fanatics,151,8256000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
120,1917,MOROCC_,Wounded Morocc,151,5000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
121,2483,NG_BAPHOMET,Nightmare Baphomet,154,4008000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
122,2534,FACEWORM_QUEEN_B,Blue Faceworm Queen,155,50000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
123,2529,FACEWORM_QUEEN,Faceworm Queen,155,50000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
124,2533,FACEWORM_QUEEN_G,Green Faceworm Queen,155,50000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
125,2189,COELACANTH_H_M,Mutant Coelacanth,155,5200000,Lv 150-199,true,false,true,false,false,1,included,included,included,included,none,Database MVP directly summonable.
126,2532,FACEWORM_QUEEN_R,Red Faceworm Queen,155,50000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
127,2190,COELACANTH_H_A,Violent Coelacanth,155,5200000,Lv 150-199,true,true,false,true,false,1,included,included,included,included,none,Database MVP directly summonable.
128,2535,FACEWORM_QUEEN_Y,Yellow Faceworm Queen,155,50000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
129,3741,MECHASPIDER,Spider Chariot,158,9799123,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
130,3029,GRIM_REAPER_ANKOU,Reaper Yanku,159,50000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
131,1647,B_EREMES,Assassin Cross Eremes,160,4230000,Lv 150-199,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
132,2113,E_B_EREMES,Assassin Cross Eremes,160,4230000,Lv 150-199,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
133,2996,XM_CELINE_KIMI,Celine Kimi,160,66666666,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
134,2238,B_CHEN,Champion Chen,160,4249350,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
135,2240,B_ALPHOCCIO,Clown Alphoccio,160,3894278,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
136,2236,B_FLAMEL,Creator Flamel,160,4230000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
137,2564,GEFFEN_FENRIR,Fenrir,160,20000000,Lv 150-199,true,false,false,false,false,1,missing,missing,included,included,none,Database MVP directly summonable.
138,2241,B_TRENTINI,Gypsy Trentini,160,3894278,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
139,1649,B_MAGALETA,High Priest Margaretha,160,4800000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
140,1651,B_KATRINN,High Wizard Kathryne,160,4500000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
141,3659,MD_LICH_LORD_160,Lich Lord,160,23485539,Lv 150-199,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
142,1646,B_SEYREN,Lord Knight Seyren,160,4680000,Lv 150-199,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
143,2112,E_B_SEYREN,Lord Knight Seyren,160,4680000,Lv 150-199,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
144,2235,B_RANDEL,Paladin Randel,160,6870000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
145,2237,B_CELIA,Professor Celia,160,3847804,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
146,3190,MM_SARAH,Sarah Irene,160,100000000,Lv 150-199,true,true,true,true,true,1,missing,missing,included,included,clear four incoming damage-ignore bits on spawned unit only,Database MVP was fully damage-immune; custom room/arena spawn is normalized without changing mob_db or official instances.
147,1650,B_SHECIL,Sniper Cecil,160,4140000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
148,2239,B_GERTIE,Stalker Gertie,160,4057279,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
149,3473,AS_RAGGED_GOLEM,Stefan.J.E.Wolf,160,20000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
150,1648,B_HARWORD,Whitesmith Howard,160,6750000,Lv 150-199,true,false,false,false,false,2,included,included,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
151,2111,E_B_HARWORD,Whitesmith Howard,160,6750000,Lv 150-199,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
152,3804,ILL_TURTLE_GENERAL,Ominous Turtle General,165,11628549,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
153,3254,T_W_O,T_W_O,165,48000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
154,20648,EP17_2_PITAYA_BOSS,Boss Meow,168,19298694,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
155,20273,ILL_TAO_GUNKA,Ancient Tao Gunka,169,19280000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
156,20277,ILL_WOOTAN_DEFENDER,Ancient Wootan Defender,169,20154000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
157,3074,TIMEHOLDER,Time Holder,170,25000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
158,20381,EP17_1_R4885_BESTIA,R48-85-Bestia,174,4885000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
159,3097,MM_MOROCC_ADT,Despair God Morroc,175,120000000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
160,21395,ILL_MAYA,Silent Maya,175,24512365,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
161,21314,EP18_MD_SCHULANG,Schulang,185,23586543,Lv 150-199,true,false,false,false,false,3,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
162,21316,EP18_MD_SCHULANG_R,Schulang,185,2000000000,Lv 150-199,true,false,false,false,false,3,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
163,20621,MD_REDPEPPER_H,Senior Red Pepper,185,1008398847,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
164,21317,EP18_MD_DEMI_FREYJA_R,Twisted God Freyja,185,2000000000,Lv 150-199,true,false,false,false,false,2,missing,missing,included,included,none,"Database MVP retained even when it is an event, legacy, or duplicate-name variant; menu shows Monster ID."
165,3241,V_B_FLAMEL,Genetic Flamel,186,14400000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
166,3245,V_B_ALPHOCCIO,Minstrel Alphoccio,186,10800000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
167,3246,V_B_TRENTINI,Wanderer Trentini,186,10800000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
168,3221,V_B_MAGALETA,Arch Bishop Margaretha,187,14400000,Lv 150-199,true,false,false,false,false,1,included,included,included,included,none,Database MVP directly summonable.
